"","ID","DOSE","SEX","MULTIPLE","ROUTE","FORMULATION","CMAX","AUCLST","TMAX","LAMZHL","CLFO","VZFO"
"1","1",12.5,"M","1","PO","1",8.11,46.4925,8,NA,NA,NA
"2","2",12.5,"M","1","PO","2",15.5,56.0825,4,NA,NA,NA
"3","6",10,"M","1","PO","1",9.58,73.57125,1,NA,NA,NA
"4","7",10,"M","1","PO","1",24.7,85.95,2,NA,NA,NA
"5","8",10,"M","1","PO","1",17.7,75.9,1,NA,NA,NA
"6","9",30,"M","1","PO","1",151,392.6,0.5,7.08460943958509,50.2496891895084,513.59860120995
"7","10",30,"M","1","PO","1",77.2,662.0725,8,NA,NA,NA
"8","11",30,"M","1","PO","1",110,458.685,2,NA,NA,NA
"9","12",30,"M","1","PO","3",16.5,169.955,6,6.41264085230465,160.60584552064,1485.84259590091
"10","13",30,"M","1","PO","3",27.5,223.39625,6,4.76882363142716,128.739788129308,885.724361512963
"11","14",30,"M","1","PO","3",16.7,133.345,6,6.6938643974214,203.466362474353,1964.91636702563
"12","15",100,"M","1","PO","1",72.1,569.05,1,4.79975500379695,132.272729317153,915.933458595346
"13","16",100,"M","1","PO","1",324,2141.1425,6,NA,NA,NA
"14","17",100,"M","1","PO","1",135,757,6,NA,NA,NA
"15","18",30,"M","1","PO","1",15.2,15.2,2,NA,NA,NA
"16","19",30,"M","1","PO","1",15.1,15.1,2,NA,NA,NA
"17","20",30,"M","1","PO","1",18.3,239.18,2,NA,NA,NA
"18","21",30,"M","1","PO","1",18.2,241.06,2,NA,NA,NA
