"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV"
1,0,1e+05,.,1,1,27,24,3,1,2,100,1,1,0,0,0
1,0.5,.,2.386,0,2,.,.,3,1,1,100,1,1,0.5,0,0
1,1,.,1.116,0,2,.,.,3,1,1,100,1,1,1,0,0
1,2,.,.,1,2,.,.,3,1,1,100,1,1,2,1,0
1,4,.,.,1,2,.,.,3,1,1,100,1,1,4,1,0
1,8,.,.,1,2,.,.,3,1,1,100,1,1,8,1,0
1,24,.,.,1,2,.,.,3,1,1,100,1,1,24,1,0
1,648.5,.,5.204,0,2,.,.,3,1,2,100,1,1,0.5,0,0
1,649,.,2.237,0,2,.,.,3,1,2,100,1,1,1,0,0
1,650,.,1.283,0,2,.,.,3,1,2,100,1,1,2,0,0
1,652,.,.,1,2,.,.,3,1,2,100,1,1,4,1,0
1,656,.,1.667,0,2,.,.,3,1,2,100,1,1,8,0,0
1,672,.,.,1,2,.,.,3,1,2,100,1,1,24,1,0
2,0,1e+05,.,1,1,27,24,3,1,2,100,1,1,0,0,0
2,0.5,.,1.711,0,2,.,.,3,1,1,100,1,1,0.5,0,0
2,1,.,.,1,2,.,.,3,1,1,100,1,1,1,1,0
2,2,.,1.639,0,2,.,.,3,1,1,100,1,1,2,0,0
2,4,.,1.646,0,2,.,.,3,1,1,100,1,1,4,0,0
2,8,.,.,1,2,.,.,3,1,1,100,1,1,8,1,0
2,24,.,1.14,0,2,.,.,3,1,1,100,1,1,24,0,0
2,648.5,.,2.724,0,2,.,.,3,1,2,100,1,1,0.5,0,0
2,649,.,1.569,0,2,.,.,3,1,2,100,1,1,1,0,0
2,650,.,1.067,0,2,.,.,3,1,2,100,1,1,2,0,0
2,652,.,.,1,2,.,.,3,1,2,100,1,1,4,1,0
2,656,.,1.913,0,2,.,.,3,1,2,100,1,1,8,0,0
2,672,.,.,1,2,.,.,3,1,2,100,1,1,24,1,0
3,0,1e+05,.,1,1,27,24,3,1,2,100,1,1,0,0,0
3,0.5,.,2.613,0,2,.,.,3,1,1,100,1,1,0.5,0,0
3,1,.,6.972,0,2,.,.,3,1,1,100,1,1,1,0,0
3,2,.,1.719,0,2,.,.,3,1,1,100,1,1,2,0,0
3,4,.,.,1,2,.,.,3,1,1,100,1,1,4,1,0
3,8,.,.,1,2,.,.,3,1,1,100,1,1,8,1,0
3,24,.,.,1,2,.,.,3,1,1,100,1,1,24,1,0
3,648.5,.,4.95,0,2,.,.,3,1,2,100,1,1,0.5,0,0
3,649,.,2.515,0,2,.,.,3,1,2,100,1,1,1,0,0
3,650,.,1.839,0,2,.,.,3,1,2,100,1,1,2,0,0
3,652,.,.,1,2,.,.,3,1,2,100,1,1,4,1,0
