TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         ROUTE       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  2.9000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  2.9000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  2.5000E-01  0.0000E+00  7.3000E-01  0.0000E+00  1.8972E+00  0.0000E+00 -1.2113E+00  0.0000E+00  1.0000E+00  7.3000E-01  5.2920E-02  0.0000E+00  0.0000E+00
  1.0000E+00  5.0000E-01  0.0000E+00  2.7500E+00  0.0000E+00  3.2989E+00  0.0000E+00 -3.2761E-01  0.0000E+00  1.0000E+00  2.7500E+00  9.2879E+00  0.0000E+00  0.0000E+00
  1.0000E+00  1.0000E+00  0.0000E+00  7.2700E+00  0.0000E+00  5.0043E+00  0.0000E+00  8.9138E-01  0.0000E+00  1.0000E+00  7.2700E+00  1.2932E+01  0.0000E+00  0.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  6.4500E+00  0.0000E+00  5.8369E+00  0.0000E+00  2.0680E-01  0.0000E+00  1.0000E+00  6.4500E+00  1.3115E+01  0.0000E+00  0.0000E+00
  1.0000E+00  3.0000E+00  0.0000E+00  6.8500E+00  0.0000E+00  5.1990E+00  0.0000E+00  6.2524E-01  0.0000E+00  1.0000E+00  6.8500E+00  1.0545E+01  0.0000E+00  0.0000E+00
  1.0000E+00  4.0000E+00  0.0000E+00  4.2300E+00  0.0000E+00  4.1896E+00  0.0000E+00  1.9004E-02  0.0000E+00  1.0000E+00  4.2300E+00  7.9067E+00  0.0000E+00  0.0000E+00
  1.0000E+00  6.0000E+00  0.0000E+00  6.0300E+00  0.0000E+00  5.9537E+00  0.0000E+00  2.5227E-02  0.0000E+00  1.0000E+00  6.0300E+00  1.2487E+01  0.0000E+00  0.0000E+00
  1.0000E+00  8.0000E+00  0.0000E+00  8.1100E+00  0.0000E+00  5.6315E+00  0.0000E+00  8.6651E-01  0.0000E+00  1.0000E+00  8.1100E+00  1.1361E+01  0.0000E+00  0.0000E+00
  1.0000E+00  1.2000E+01  0.0000E+00  5.0000E-01  0.0000E+00  3.9612E+00  0.0000E+00 -1.7203E+00  1.0000E+00  1.0000E+00  5.0000E-01  4.5413E-02  0.0000E+00  0.0000E+00
  1.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  5.3109E-02  0.0000E+00  1.6562E+01  1.0000E+00  1.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  0.0000E+00  5.4500E+03  0.0000E+00  1.0000E+00  1.7716E+03  0.0000E+00 -1.9689E+00  0.0000E+00  2.0000E+00  0.0000E+00  2.4571E-02  0.0000E+00  0.0000E+00
  3.0000E+00  1.7000E-02  0.0000E+00  2.5500E+03  0.0000E+00  1.7237E+03  0.0000E+00  9.4387E-01  0.0000E+00  2.0000E+00  2.5500E+03  1.2844E+03  0.0000E+00  0.0000E+00
  3.0000E+00  8.3500E-02  0.0000E+00  2.1100E+03  0.0000E+00  1.5484E+03  0.0000E+00  7.1413E-01  0.0000E+00  2.0000E+00  2.1100E+03  1.1865E+03  0.0000E+00  0.0000E+00
  3.0000E+00  2.5000E-01  0.0000E+00  1.4600E+03  0.0000E+00  1.1841E+03  0.0000E+00  4.5868E-01  0.0000E+00  2.0000E+00  1.4600E+03  9.7290E+02  0.0000E+00  0.0000E+00
  3.0000E+00  5.0000E-01  0.0000E+00  8.5300E+02  0.0000E+00  7.9248E+02  0.0000E+00  1.5036E-01  0.0000E+00  2.0000E+00  8.5300E+02  7.2273E+02  0.0000E+00  0.0000E+00
  3.0000E+00  1.0000E+00  0.0000E+00  5.5500E+02  0.0000E+00  3.5715E+02  0.0000E+00  1.0907E+00  0.0000E+00  2.0000E+00  5.5500E+02  4.0025E+02  0.0000E+00  0.0000E+00
  3.0000E+00  2.0000E+00  0.0000E+00  1.0300E+02  0.0000E+00  7.6931E+01  0.0000E+00  6.6716E-01  0.0000E+00  2.0000E+00  1.0300E+02  1.2599E+02  0.0000E+00  0.0000E+00
  3.0000E+00  4.0000E+00  0.0000E+00  7.4100E+00  0.0000E+00  8.6882E+00  0.0000E+00 -2.8965E-01  0.0000E+00  2.0000E+00  7.4100E+00  1.7054E+01  0.0000E+00  0.0000E+00
  3.0000E+00  6.0000E+00  0.0000E+00  4.4900E+00  0.0000E+00  4.3953E+00  0.0000E+00  4.2400E-02  0.0000E+00  2.0000E+00  4.4900E+00  5.6088E+00  0.0000E+00  0.0000E+00
  3.0000E+00  8.0000E+00  0.0000E+00  5.2500E+00  0.0000E+00  3.0618E+00  0.0000E+00  1.4071E+00  0.0000E+00  2.0000E+00  5.2500E+00  3.4097E+00  0.0000E+00  0.0000E+00
  3.0000E+00  1.2000E+01  0.0000E+00  2.4600E+00  0.0000E+00  1.5522E+00  0.0000E+00  1.1515E+00  0.0000E+00  2.0000E+00  2.4600E+00  1.6911E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  2.0304E-01  0.0000E+00  2.8794E+00  1.0000E+00  2.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  5.9500E+03  0.0000E+00  1.0000E+00  2.3217E+03  0.0000E+00 -1.9689E+00  0.0000E+00  2.0000E+00  0.0000E+00  2.4564E-02  0.0000E+00  0.0000E+00
  4.0000E+00  1.7000E-02  0.0000E+00  2.3000E+03  0.0000E+00  2.2465E+03  0.0000E+00  4.6871E-02  0.0000E+00  2.0000E+00  2.3000E+03  1.4023E+03  0.0000E+00  0.0000E+00
  4.0000E+00  8.3500E-02  0.0000E+00  2.0000E+03  0.0000E+00  1.9752E+03  0.0000E+00  2.4771E-02  0.0000E+00  2.0000E+00  2.0000E+03  1.2953E+03  0.0000E+00  0.0000E+00
  4.0000E+00  2.5000E-01  0.0000E+00  1.2600E+03  0.0000E+00  1.4315E+03  0.0000E+00 -2.3587E-01  0.0000E+00  2.0000E+00  1.2600E+03  1.0622E+03  0.0000E+00  0.0000E+00
  4.0000E+00  5.0000E-01  0.0000E+00  7.3500E+02  0.0000E+00  8.8408E+02  0.0000E+00 -3.3201E-01  0.0000E+00  2.0000E+00  7.3500E+02  7.8903E+02  0.0000E+00  0.0000E+00
  4.0000E+00  1.0000E+00  0.0000E+00  4.3200E+02  0.0000E+00  3.4028E+02  0.0000E+00  5.3070E-01  0.0000E+00  2.0000E+00  4.3200E+02  4.3697E+02  0.0000E+00  0.0000E+00
  4.0000E+00  2.0000E+00  0.0000E+00  5.4600E+01  0.0000E+00  5.5975E+01  0.0000E+00 -4.8365E-02  0.0000E+00  2.0000E+00  5.4600E+01  1.3755E+02  0.0000E+00  0.0000E+00
  4.0000E+00  4.0000E+00  0.0000E+00  7.2500E+00  0.0000E+00  7.2909E+00  0.0000E+00 -1.1055E-02  0.0000E+00  2.0000E+00  7.2500E+00  1.8618E+01  0.0000E+00  0.0000E+00
  4.0000E+00  6.0000E+00  0.0000E+00  3.6500E+00  0.0000E+00  4.5285E+00  0.0000E+00 -3.8195E-01  0.0000E+00  2.0000E+00  3.6500E+00  6.1233E+00  0.0000E+00  0.0000E+00
  4.0000E+00  8.0000E+00  0.0000E+00  3.3200E+00  0.0000E+00  3.2117E+00  0.0000E+00  6.6368E-02  0.0000E+00  2.0000E+00  3.3200E+00  3.7226E+00  0.0000E+00  0.0000E+00
