TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         ROUTE       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  2.9000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  2.9000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  2.5000E-01  0.0000E+00  7.3000E-01  0.0000E+00  1.8987E+00  0.0000E+00 -1.2118E+00  0.0000E+00  1.0000E+00  7.3000E-01  5.2940E-02  0.0000E+00  0.0000E+00
  1.0000E+00  5.0000E-01  0.0000E+00  2.7500E+00  0.0000E+00  3.3010E+00  0.0000E+00 -3.2863E-01  0.0000E+00  1.0000E+00  2.7500E+00  9.2855E+00  0.0000E+00  0.0000E+00
  1.0000E+00  1.0000E+00  0.0000E+00  7.2700E+00  0.0000E+00  5.0062E+00  0.0000E+00  8.9024E-01  0.0000E+00  1.0000E+00  7.2700E+00  1.2927E+01  0.0000E+00  0.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  6.4500E+00  0.0000E+00  5.8366E+00  0.0000E+00  2.0690E-01  0.0000E+00  1.0000E+00  6.4500E+00  1.3107E+01  0.0000E+00  0.0000E+00
  1.0000E+00  3.0000E+00  0.0000E+00  6.8500E+00  0.0000E+00  5.1970E+00  0.0000E+00  6.2616E-01  0.0000E+00  1.0000E+00  6.8500E+00  1.0538E+01  0.0000E+00  0.0000E+00
  1.0000E+00  4.0000E+00  0.0000E+00  4.2300E+00  0.0000E+00  4.1871E+00  0.0000E+00  2.0179E-02  0.0000E+00  1.0000E+00  4.2300E+00  7.9019E+00  0.0000E+00  0.0000E+00
  1.0000E+00  6.0000E+00  0.0000E+00  6.0300E+00  0.0000E+00  5.9539E+00  0.0000E+00  2.5168E-02  0.0000E+00  1.0000E+00  6.0300E+00  1.2486E+01  0.0000E+00  0.0000E+00
  1.0000E+00  8.0000E+00  0.0000E+00  8.1100E+00  0.0000E+00  5.6311E+00  0.0000E+00  8.6666E-01  0.0000E+00  1.0000E+00  8.1100E+00  1.1359E+01  0.0000E+00  0.0000E+00
  1.0000E+00  1.2000E+01  0.0000E+00  5.0000E-01  0.0000E+00  3.9591E+00  0.0000E+00 -1.7201E+00  1.0000E+00  1.0000E+00  5.0000E-01  4.5438E-02  0.0000E+00  0.0000E+00
  1.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  5.3025E-02  0.0000E+00  1.6592E+01  1.0000E+00  1.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  0.0000E+00  5.4500E+03  0.0000E+00  1.0000E+00  1.7713E+03  0.0000E+00 -1.9687E+00  0.0000E+00  2.0000E+00  0.0000E+00  2.4580E-02  0.0000E+00  0.0000E+00
  3.0000E+00  1.7000E-02  0.0000E+00  2.5500E+03  0.0000E+00  1.7234E+03  0.0000E+00  9.4430E-01  0.0000E+00  2.0000E+00  2.5500E+03  1.2854E+03  0.0000E+00  0.0000E+00
  3.0000E+00  8.3500E-02  0.0000E+00  2.1100E+03  0.0000E+00  1.5481E+03  0.0000E+00  7.1453E-01  0.0000E+00  2.0000E+00  2.1100E+03  1.1872E+03  0.0000E+00  0.0000E+00
  3.0000E+00  2.5000E-01  0.0000E+00  1.4600E+03  0.0000E+00  1.1839E+03  0.0000E+00  4.5905E-01  0.0000E+00  2.0000E+00  1.4600E+03  9.7336E+02  0.0000E+00  0.0000E+00
  3.0000E+00  5.0000E-01  0.0000E+00  8.5300E+02  0.0000E+00  7.9236E+02  0.0000E+00  1.5068E-01  0.0000E+00  2.0000E+00  8.5300E+02  7.2288E+02  0.0000E+00  0.0000E+00
  3.0000E+00  1.0000E+00  0.0000E+00  5.5500E+02  0.0000E+00  3.5710E+02  0.0000E+00  1.0910E+00  0.0000E+00  2.0000E+00  5.5500E+02  4.0013E+02  0.0000E+00  0.0000E+00
  3.0000E+00  2.0000E+00  0.0000E+00  1.0300E+02  0.0000E+00  7.6928E+01  0.0000E+00  6.6722E-01  0.0000E+00  2.0000E+00  1.0300E+02  1.2583E+02  0.0000E+00  0.0000E+00
  3.0000E+00  4.0000E+00  0.0000E+00  7.4100E+00  0.0000E+00  8.6911E+00  0.0000E+00 -2.9019E-01  0.0000E+00  2.0000E+00  7.4100E+00  1.7018E+01  0.0000E+00  0.0000E+00
  3.0000E+00  6.0000E+00  0.0000E+00  4.4900E+00  0.0000E+00  4.3964E+00  0.0000E+00  4.1901E-02  0.0000E+00  2.0000E+00  4.4900E+00  5.6035E+00  0.0000E+00  0.0000E+00
  3.0000E+00  8.0000E+00  0.0000E+00  5.2500E+00  0.0000E+00  3.0617E+00  0.0000E+00  1.4071E+00  0.0000E+00  2.0000E+00  5.2500E+00  3.4083E+00  0.0000E+00  0.0000E+00
  3.0000E+00  1.2000E+01  0.0000E+00  2.4600E+00  0.0000E+00  1.5513E+00  0.0000E+00  1.1531E+00  0.0000E+00  2.0000E+00  2.4600E+00  1.6898E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  2.0260E-01  0.0000E+00  2.8898E+00  1.0000E+00  2.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  5.9500E+03  0.0000E+00  1.0000E+00  2.3212E+03  0.0000E+00 -1.9687E+00  0.0000E+00  2.0000E+00  0.0000E+00  2.4572E-02  0.0000E+00  0.0000E+00
  4.0000E+00  1.7000E-02  0.0000E+00  2.3000E+03  0.0000E+00  2.2461E+03  0.0000E+00  4.7266E-02  0.0000E+00  2.0000E+00  2.3000E+03  1.4033E+03  0.0000E+00  0.0000E+00
  4.0000E+00  8.3500E-02  0.0000E+00  2.0000E+03  0.0000E+00  1.9748E+03  0.0000E+00  2.5152E-02  0.0000E+00  2.0000E+00  2.0000E+03  1.2961E+03  0.0000E+00  0.0000E+00
  4.0000E+00  2.5000E-01  0.0000E+00  1.2600E+03  0.0000E+00  1.4312E+03  0.0000E+00 -2.3555E-01  0.0000E+00  2.0000E+00  1.2600E+03  1.0627E+03  0.0000E+00  0.0000E+00
  4.0000E+00  5.0000E-01  0.0000E+00  7.3500E+02  0.0000E+00  8.8395E+02  0.0000E+00 -3.3173E-01  0.0000E+00  2.0000E+00  7.3500E+02  7.8920E+02  0.0000E+00  0.0000E+00
  4.0000E+00  1.0000E+00  0.0000E+00  4.3200E+02  0.0000E+00  3.4025E+02  0.0000E+00  5.3090E-01  0.0000E+00  2.0000E+00  4.3200E+02  4.3683E+02  0.0000E+00  0.0000E+00
  4.0000E+00  2.0000E+00  0.0000E+00  5.4600E+01  0.0000E+00  5.5979E+01  0.0000E+00 -4.8508E-02  0.0000E+00  2.0000E+00  5.4600E+01  1.3738E+02  0.0000E+00  0.0000E+00
  4.0000E+00  4.0000E+00  0.0000E+00  7.2500E+00  0.0000E+00  7.2942E+00  0.0000E+00 -1.1921E-02  0.0000E+00  2.0000E+00  7.2500E+00  1.8579E+01  0.0000E+00  0.0000E+00
  4.0000E+00  6.0000E+00  0.0000E+00  3.6500E+00  0.0000E+00  4.5295E+00  0.0000E+00 -3.8227E-01  0.0000E+00  2.0000E+00  3.6500E+00  6.1176E+00  0.0000E+00  0.0000E+00
  4.0000E+00  8.0000E+00  0.0000E+00  3.3200E+00  0.0000E+00  3.2116E+00  0.0000E+00  6.6458E-02  0.0000E+00  2.0000E+00  3.3200E+00  3.7210E+00  0.0000E+00  0.0000E+00
