TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         ROUTE       DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  2.9000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  2.9000E+04  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  2.5000E-01  0.0000E+00  7.3000E-01  0.0000E+00  2.0096E+00  0.0000E+00 -9.3602E-01  0.0000E+00  1.0000E+00  7.3000E-01  1.2296E-01  0.0000E+00  0.0000E+00
  1.0000E+00  5.0000E-01  0.0000E+00  2.7500E+00  0.0000E+00  3.2097E+00  0.0000E+00 -2.1055E-01  0.0000E+00  1.0000E+00  2.7500E+00  7.5730E+00  0.0000E+00  0.0000E+00
  1.0000E+00  1.0000E+00  0.0000E+00  7.2700E+00  0.0000E+00  4.6244E+00  0.0000E+00  8.4100E-01  0.0000E+00  1.0000E+00  7.2700E+00  1.0896E+01  0.0000E+00  0.0000E+00
  1.0000E+00  2.0000E+00  0.0000E+00  6.4500E+00  0.0000E+00  5.1249E+00  0.0000E+00  3.8007E-01  0.0000E+00  1.0000E+00  6.4500E+00  1.2049E+01  0.0000E+00  0.0000E+00
  1.0000E+00  3.0000E+00  0.0000E+00  6.8500E+00  0.0000E+00  4.3248E+00  0.0000E+00  8.5829E-01  0.0000E+00  1.0000E+00  6.8500E+00  1.0146E+01  0.0000E+00  0.0000E+00
  1.0000E+00  4.0000E+00  0.0000E+00  4.2300E+00  0.0000E+00  3.2567E+00  0.0000E+00  4.3931E-01  0.0000E+00  1.0000E+00  4.2300E+00  7.6246E+00  0.0000E+00  0.0000E+00
  1.0000E+00  6.0000E+00  0.0000E+00  6.0300E+00  0.0000E+00  5.0927E+00  0.0000E+00  2.7057E-01  0.0000E+00  1.0000E+00  6.0300E+00  1.1956E+01  0.0000E+00  0.0000E+00
  1.0000E+00  8.0000E+00  0.0000E+00  8.1100E+00  0.0000E+00  5.8701E+00  0.0000E+00  5.6093E-01  0.0000E+00  1.0000E+00  8.1100E+00  1.3772E+01  0.0000E+00  0.0000E+00
  1.0000E+00  1.2000E+01  0.0000E+00  5.0000E-01  0.0000E+00  2.6508E+00  0.0000E+00 -1.1927E+00  1.0000E+00  1.0000E+00  5.0000E-01  1.0897E-01  0.0000E+00  0.0000E+00
  1.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  3.3297E-03  0.0000E+00  2.1906E+02  1.0000E+00  1.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  0.0000E+00  5.4500E+03  0.0000E+00  1.0000E+00  5.4145E+03  0.0000E+00 -1.4700E+00  0.0000E+00  2.0000E+00  0.0000E+00  7.0813E-02  0.0000E+00  0.0000E+00
  3.0000E+00  1.7000E-02  0.0000E+00  2.5500E+03  0.0000E+00  1.7377E+03  0.0000E+00  6.8721E-01  0.0000E+00  2.0000E+00  2.5500E+03  1.7246E+03  0.0000E+00  0.0000E+00
  3.0000E+00  8.3500E-02  0.0000E+00  2.1100E+03  0.0000E+00  9.0621E+02  0.0000E+00  1.9527E+00  0.0000E+00  2.0000E+00  2.1100E+03  9.2135E+02  0.0000E+00  0.0000E+00
  3.0000E+00  2.5000E-01  0.0000E+00  1.4600E+03  0.0000E+00  8.2567E+02  0.0000E+00  1.1293E+00  0.0000E+00  2.0000E+00  1.4600E+03  8.3844E+02  0.0000E+00  0.0000E+00
  3.0000E+00  5.0000E-01  0.0000E+00  8.5300E+02  0.0000E+00  7.1911E+02  0.0000E+00  2.7369E-01  0.0000E+00  2.0000E+00  8.5300E+02  7.2830E+02  0.0000E+00  0.0000E+00
  3.0000E+00  1.0000E+00  0.0000E+00  5.5500E+02  0.0000E+00  5.4547E+02  0.0000E+00  2.5673E-02  0.0000E+00  2.0000E+00  5.5500E+02  5.4952E+02  0.0000E+00  0.0000E+00
  3.0000E+00  2.0000E+00  0.0000E+00  1.0300E+02  0.0000E+00  3.1386E+02  0.0000E+00 -9.8758E-01  0.0000E+00  2.0000E+00  1.0300E+02  3.1285E+02  0.0000E+00  0.0000E+00
  3.0000E+00  4.0000E+00  0.0000E+00  7.4100E+00  0.0000E+00  1.0391E+02  0.0000E+00 -1.3652E+00  0.0000E+00  2.0000E+00  7.4100E+00  1.0140E+02  0.0000E+00  0.0000E+00
  3.0000E+00  6.0000E+00  0.0000E+00  4.4900E+00  0.0000E+00  3.4399E+01  0.0000E+00 -1.2781E+00  0.0000E+00  2.0000E+00  4.4900E+00  3.2866E+01  0.0000E+00  0.0000E+00
  3.0000E+00  8.0000E+00  0.0000E+00  5.2500E+00  0.0000E+00  1.1388E+01  0.0000E+00 -7.9234E-01  0.0000E+00  2.0000E+00  5.2500E+00  1.0652E+01  0.0000E+00  0.0000E+00
  3.0000E+00  1.2000E+01  0.0000E+00  2.4600E+00  0.0000E+00  1.2482E+00  0.0000E+00  1.4271E+00  0.0000E+00  2.0000E+00  2.4600E+00  1.1190E+00  0.0000E+00  0.0000E+00
  3.0000E+00  2.4000E+01  0.0000E+00  5.0000E-01  0.0000E+00  1.6434E-03  0.0000E+00  4.4400E+02  1.0000E+00  2.0000E+00  5.0000E-01  1.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  5.9500E+03  0.0000E+00  1.0000E+00  8.2994E+03  0.0000E+00 -1.4700E+00  0.0000E+00  2.0000E+00  0.0000E+00  7.0810E-02  0.0000E+00  0.0000E+00
  4.0000E+00  1.7000E-02  0.0000E+00  2.3000E+03  0.0000E+00  1.8024E+03  0.0000E+00  4.0580E-01  0.0000E+00  2.0000E+00  2.3000E+03  1.8829E+03  0.0000E+00  0.0000E+00
  4.0000E+00  8.3500E-02  0.0000E+00  2.0000E+03  0.0000E+00  1.0353E+03  0.0000E+00  1.3697E+00  0.0000E+00  2.0000E+00  2.0000E+03  1.0059E+03  0.0000E+00  0.0000E+00
  4.0000E+00  2.5000E-01  0.0000E+00  1.2600E+03  0.0000E+00  9.3960E+02  0.0000E+00  5.0126E-01  0.0000E+00  2.0000E+00  1.2600E+03  9.1536E+02  0.0000E+00  0.0000E+00
  4.0000E+00  5.0000E-01  0.0000E+00  7.3500E+02  0.0000E+00  8.1237E+02  0.0000E+00 -1.4001E-01  0.0000E+00  2.0000E+00  7.3500E+02  7.9512E+02  0.0000E+00  0.0000E+00
  4.0000E+00  1.0000E+00  0.0000E+00  4.3200E+02  0.0000E+00  6.0726E+02  0.0000E+00 -4.2425E-01  0.0000E+00  2.0000E+00  4.3200E+02  5.9994E+02  0.0000E+00  0.0000E+00
  4.0000E+00  2.0000E+00  0.0000E+00  5.4600E+01  0.0000E+00  3.3932E+02  0.0000E+00 -1.2335E+00  0.0000E+00  2.0000E+00  5.4600E+01  3.4155E+02  0.0000E+00  0.0000E+00
  4.0000E+00  4.0000E+00  0.0000E+00  7.2500E+00  0.0000E+00  1.0595E+02  0.0000E+00 -1.3694E+00  0.0000E+00  2.0000E+00  7.2500E+00  1.1070E+02  0.0000E+00  0.0000E+00
  4.0000E+00  6.0000E+00  0.0000E+00  3.6500E+00  0.0000E+00  3.3080E+01  0.0000E+00 -1.3078E+00  0.0000E+00  2.0000E+00  3.6500E+00  3.5881E+01  0.0000E+00  0.0000E+00
  4.0000E+00  8.0000E+00  0.0000E+00  3.3200E+00  0.0000E+00  1.0329E+01  0.0000E+00 -9.9749E-01  0.0000E+00  2.0000E+00  3.3200E+00  1.1630E+01  0.0000E+00  0.0000E+00
