TIME,DV,DOSE,ROUTE
0.017,7256,10,2
0.083,8399.9,,
0.25,10783.4,,
0.5,1942.4,,
1,1919.4,,
2,1731.5,,
4,211.7,,
6,308.5,,
8,304.6,,
12,71.7,,
24,169.5,,
,192.5,,
,309.4,,
,72.4,,
,17.6,,
,4.5,,
,4.5,,
,9.8,,
,5.4,,
,0.2,,
,13.6,,
,16.1,,
,0.4,,
,0.6,,
,0.5,,
,0.6,,
,3.5,,
,0.4,,
,0.6,,
,6.8,,
,0.4,,
,2.2,,
,0.9,,
0,0,10,1
0.25,17.2,10,1
0.5,12.8,,
1,42.3,,
2,8.7,,
4,13.4,,
6,12.6,,
8,8.3,,
12,5.6,,
24,8.9,,
,25.7,,
,0.4,,
,24,,
,1.7,,
,0.9,,
,0.3,,
,0.9,,
,3,,
,3.8,,
,0.8,,
,1.2,,
,0.9,,
,2.8,,
,56.2,,
,0.8,,
,3.9,,
,0.4,,
,1.4,,
0,0,25,1
0.25,79.8,25,1
0.5,68.5,,
1,68.2,,
2,51,,
4,33.7,,
6,4.6,,
8,114.8,,
12,17.8,,
24,32.7,,
,3.6,,
,72.6,,
,2.2,,
,2.5,,
,14.4,,
,2.3,,
,1.1,,
,4.8,,
,5.9,,
,0.7,,
,0.7,,
,1.3,,
,0.3,,
,9.9,,
,201.9,,
,1.5,,
,0.8,,
,1.7,,
