TIME,DV,DOSE,ROUTE,CMT
0.25,56.8,50,2,3
0.5,30.3,,,
1,30.9,,,
2,15.8,,,
4,398,,,
6,29.6,,,
8,14.6,,,
10,13.9,,,
12,1.1,,,
14,8.9,,,
16,3.2,,,
20,0.6,,,
24,5.2,,,
28,2.6,,,
,42.4,,,
,252.4,,,
,166.7,,,
,170.9,,,
,324.6,,,
,18.4,,,
,1.3,,,
,3.2,,,
,0.7,,,
,1.7,,,
,1.7,,,
,0.4,,,
,1.6,,,
,1.1,,,
,51.2,,,
,53.3,,,
,62,,,
,188.6,,,
,124.1,,,
,2.5,,,
,6.9,,,
,15.8,,,
,2.2,,,
,1.1,,,
,41.5,,,
,7.2,,,
,0.5,,,
,5.6,,,
,67.7,,,
,42.6,,,
,39.9,,,
,248.6,,,
,22.1,,,
,59.1,,,
,8.7,,,
,3.4,,,
,1.5,,,
,1,,,
,42.8,,,
,0.8,,,
,0.8,,,
,0.4,,,
,1264.4,50,2,2
,1132.7,,,
,201.2,,,
,697.4,,,
,3318,,,
,241.5,,,
,147,,,
,1917.3,,,
,209,,,
,86.4,,,
,377,,,
,170.8,,,
,55.9,,,
,335.4,,,
,1011.3,,,
,838,,,
,142.2,,,
,425.1,,,
,2658.6,,,
,168.1,,,
,92.3,,,
,1329.4,,,
,159.9,,,
,202.2,,,
,158.8,,,
,116,,,
,38.6,,,
,211.4,,,
,4186.4,,,
,1009.5,,,
,637.9,,,
,440.7,,,
,292.7,,,
,977.1,,,
,128,,,
,544.2,,,
,239,,,
,94.2,,,
,1261,,,
,244.1,,,
,194.3,,,
,76.9,,,
,1052.4,,,
,1239.1,,,
,710.3,,,
,3396,,,
,4318.3,,,
,748.6,,,
,438.9,,,
,342.3,,,
,321.9,,,
,243.4,,,
,579.8,,,
,315.5,,,
,734.8,,,
,371,,,
