"","CONDITION","ID","TIME","DV","YTYPE","TAD","MDV","AMT","RATE","ADDL","II","SPECIES","DOSE","ROUTE","FORMULATION","BQL","WT","LVW","CMT2","IXGDF","USUBJID","EVID","CENS","ADM","TINF","TIMEPOS"
"1","1",1,0,NA,NA,0,1,276800,NA,0,0,1,10,1,1,0,27.68,1.3003,2,1,"SJ1",1,0,0,0,0
"2","1",1,0.033,7333.59,1,0.033,0,NA,NA,0,0,1,10,1,1,0,27.68,1.3003,2,2,"SJ1",0,0,NA,0,0.033
"3","2",2,0,NA,NA,0,1,269800,NA,0,0,1,10,1,1,0,26.98,1.3003,2,3,"SJ2",1,0,0,0,0
"4","2",2,0.033,4663.91,1,0.033,0,NA,NA,0,0,1,10,1,1,0,26.98,1.3003,2,4,"SJ2",0,0,NA,0,0.033
"5","3",3,0,NA,NA,0,1,295700,NA,0,0,1,10,1,1,0,29.57,1.3003,2,5,"SJ3",1,0,0,0,0
"6","3",3,0.033,3794.48,1,0.033,0,NA,NA,0,0,1,10,1,1,0,29.57,1.3003,2,6,"SJ3",0,0,NA,0,0.033
"7","4",4,0,NA,NA,0,1,298400,NA,0,0,1,10,1,1,0,29.84,1.3003,2,7,"SJ4",1,0,0,0,0
"8","4",4,0.083,1191.5,1,0.083,0,NA,NA,0,0,1,10,1,1,0,29.84,1.3003,2,8,"SJ4",0,0,NA,0,0.083
"9","5",5,0,NA,NA,0,1,279700,NA,0,0,1,10,1,1,0,27.97,1.3003,2,9,"SJ5",1,0,0,0,0
"10","5",5,0.083,1178.81,1,0.083,0,NA,NA,0,0,1,10,1,1,0,27.97,1.3003,2,10,"SJ5",0,0,NA,0,0.083
"11","6",6,0,NA,NA,0,1,305200,NA,0,0,1,10,1,1,0,30.52,1.3003,2,11,"SJ6",1,0,0,0,0
"12","6",6,0.083,1258.79,1,0.083,0,NA,NA,0,0,1,10,1,1,0,30.52,1.3003,2,12,"SJ6",0,0,NA,0,0.083
"13","7",7,0,NA,NA,0,1,282000,NA,0,0,1,10,1,1,0,28.2,1.3003,2,13,"SJ7",1,0,0,0,0
"14","7",7,0.25,879.32,1,0.25,0,NA,NA,0,0,1,10,1,1,0,28.2,1.3003,2,14,"SJ7",0,0,NA,0,0.25
"15","8",8,0,NA,NA,0,1,275600,NA,0,0,1,10,1,1,0,27.56,1.3003,2,15,"SJ8",1,0,0,0,0
"16","8",8,0.25,525.94,1,0.25,0,NA,NA,0,0,1,10,1,1,0,27.56,1.3003,2,16,"SJ8",0,0,NA,0,0.25
"17","9",9,0,NA,NA,0,1,282400,NA,0,0,1,10,1,1,0,28.24,1.3003,2,17,"SJ9",1,0,0,0,0
"18","9",9,0.25,546.45,1,0.25,0,NA,NA,0,0,1,10,1,1,0,28.24,1.3003,2,18,"SJ9",0,0,NA,0,0.25
"19","10",10,0,NA,NA,0,1,283600,NA,0,0,1,10,1,1,0,28.36,1.3003,2,19,"SJ10",1,0,0,0,0
"20","10",10,0.5,1256.22,1,0.5,0,NA,NA,0,0,1,10,1,1,0,28.36,1.3003,2,20,"SJ10",0,0,NA,0,0.5
"21","11",11,0,NA,NA,0,1,303800,NA,0,0,1,10,1,1,0,30.38,1.6399,2,21,"SJ11",1,0,0,0,0
"22","11",11,0.5,356.47,1,0.5,0,NA,NA,0,0,1,10,1,1,0,30.38,1.6399,2,22,"SJ11",0,0,NA,0,0.5
"23","12",12,0,NA,NA,0,1,276100,NA,0,0,1,10,1,1,0,27.61,1.3386,2,23,"SJ12",1,0,0,0,0
"24","12",12,0.5,49.88,1,0.5,0,NA,NA,0,0,1,10,1,1,0,27.61,1.3386,2,24,"SJ12",0,0,NA,0,0.5
"25","13",13,0,NA,NA,0,1,288900,NA,0,0,1,10,1,1,0,28.89,1.5619,2,25,"SJ13",1,0,0,0,0
"26","13",13,0.75,231.89,1,0.75,0,NA,NA,0,0,1,10,1,1,0,28.89,1.5619,2,26,"SJ13",0,0,NA,0,0.75
"27","14",14,0,NA,NA,0,1,279100,NA,0,0,1,10,1,1,0,27.91,1.5619,2,27,"SJ14",1,0,0,0,0
"28","14",14,0.75,21.36,1,0.75,0,NA,NA,0,0,1,10,1,1,0,27.91,1.5619,2,28,"SJ14",0,0,NA,0,0.75
"29","15",15,0,NA,NA,0,1,290300,NA,0,0,1,10,1,1,0,29.03,1.5619,2,29,"SJ15",1,0,0,0,0
"30","15",15,0.75,16.51,1,0.75,0,NA,NA,0,0,1,10,1,1,0,29.03,1.5619,2,30,"SJ15",0,0,NA,0,0.75
"31","16",16,0,NA,NA,0,1,277400,NA,0,0,1,10,1,1,0,27.74,1.5619,2,31,"SJ16",1,0,0,0,0
