Iteration,Obj,KA,Q,V2,V3,CL,error_ADD1
1,159662381609.865,-1.00334721615744,5.58622227180901,-0.630206900638403,5.62949913414437,3.12719944969795,-3.06473508965938
2,80308455424.4981,-0.927603997501295,4.88332866604689,-0.633006715908923,6.25541104542895,3.28130883368221,-2.77373632347496
3,39871624920.0331,0.275087667427157,5.97572886020153,-1.4405060337989,7.02951500091829,3.40201256462628,-2.46659938013908
4,19310669828.2355,3.30033190868562,7.93553307639374,-1.44132702031413,6.69916862559675,5.08542954270237,-2.21353300318514
5,100674750763.112,9.43450842493047,3.1022775206218,-1.43311834645675,6.51968109278662,6.69664303864953,-2.83258640465134
6,5119126938.23077,4.38336424032817,6.2560623066102,-1.4384107465178,6.72811056975349,5.1231944809633,-2.14913913147899
7,2635138231.58234,4.37294838321296,6.02140771548348,-5.38702498459946,6.32711478847294,5.41204917952155,-1.81901430075415
8,1651343895.58518,4.37040386823492,5.92820556860115,0.487142345420026,5.90938218304046,5.6447134228953,-1.48952542680048
9,9004477933.50404,4.2385784178396,3.9960580431162,-7.08562068641094,4.25562902622289,5.3392603249734,-1.21660244240652
10,985980951.120551,4.34369870454801,5.43481954497648,-1.24252102486922,5.09080983242381,5.7817475650252,-1.21514860179665
11,992321839.678345,4.37279563912272,5.61156941155726,2.68879243378052,4.4988494160146,6.09024435911262,-0.956194019302341
12,489326415.855413,4.37279589940558,5.40225188873094,-0.675589089626931,4.34448990592347,6.01115983194532,-0.956194014575752
13,263884556.381519,4.41540797870484,5.20975327855872,-2.5412145493239,3.72394059928275,6.00641751606829,-0.64721793740556
14,330145571.91188,4.46802222826946,5.33819139451026,1.43604471472298,3.47387289393431,6.08128574517638,-0.341724983055874
15,134604003.487274,4.46802174874188,5.28430753178076,-1.6415987934685,3.43000889928491,6.05783161317385,-0.341724973709885
16,69954513.8064446,4.5235400754954,5.25051412946508,-3.59772838952217,3.17224461008435,6.04018059379241,-0.0222575397098763
17,47468125.0883937,4.57577041778703,5.31878690207196,0.386918472638905,3.0689687118792,6.06286190009579,0.300145567629915
18,488759550.567972,4.53074632931071,3.19427177924841,-7.03565077342922,1.22150948331862,5.10490384344799,0.543219265973159
19,33666679.1793778,4.60503564206989,4.90501840582032,-1.48264428851206,2.58255115400077,5.87056562859656,0.543239691646028
20,44046628.0818892,4.66879436689,5.43566275107524,2.15280112517251,2.90145374540311,6.10791908397889,0.721172955264605
21,16820785.604336,4.6687966063284,5.242026681342,-0.585647969125938,2.73948830279887,6.01616793949046,0.721172955201028
22,12470756.5817601,4.70253021272137,5.59541506564502,1.33680991648353,2.98311305932717,6.17456238548692,1.02720630177723
23,9655505.18101699,4.0870841100296,5.4085486807629,-0.538641654185098,2.8369707417637,6.06840227278047,1.21788754645478
24,5265485.75530979,4.54454548796877,5.99012156612377,1.29138871784225,3.08302216766948,6.23139156751374,1.33630133379854
25,7430600.46346696,4.03810105879162,5.13958185700119,-2.52605204172949,2.60320030749751,5.86392910422198,1.6226055351539
26,2745917.02887282,4.50225008679301,5.79664175253709,0.359747786479392,2.99537680780767,6.17520199268988,1.62262784093485
27,1510972.86675966,4.60175837806822,5.40112198018667,-1.54641942519295,2.71720744540111,6.01333656915097,1.93131699924262
28,1962801.51486198,4.66556592528613,5.57284278939985,2.23969424428633,2.85410578149237,6.1159182799673,2.23476455402083
29,778222.676944516,4.66556633069817,5.44311670659286,-0.597911816449509,2.75321696536502,6.05418116680117,2.23476455134563
30,563569.592966807,4.7069477700559,5.68249752418521,1.34809405303316,2.94140508517133,6.17908945516694,2.55327594062357
31,886522.210599759,3.54174740449526,5.05126709181922,-2.38717082187607,2.55912480355156,5.86302154435056,2.76683381756645
32,304653.962813582,4.44328623423021,5.64463894314187,0.408315272162964,2.93767284525423,6.16388579371628,2.76686453152988
33,177561.839480588,4.55749000122641,5.2957864975617,-1.51014866860882,2.6631512510885,5.99662817519333,3.05186751152592
34,227473.250890255,4.6382380319258,5.53479694027144,2.31325194467619,2.84548303290731,6.12035298611898,3.32936710105288
35,92338.6507479582,4.63824981095274,5.3958632174225,-0.562505553953569,2.73524096472573,6.05328748550078,3.32936710389562
36,68621.0560537671,4.68760031355716,5.66616171173626,1.37834744514535,2.94373301047113,6.18607720400028,3.63982552133715
37,96244.4325648711,3.44273625789963,5.10291201202334,-2.3496728419409,2.61268191882487,5.89385720066278,3.83965609674998
38,38570.960667261,4.40905259161958,5.66383848977912,0.439143791139884,2.96184315103377,6.17990396180914,3.83969621180459
39,21350.576516728,4.54888924853304,5.78610479496743,0.740273129065371,3.03415466762152,6.2310607824729,4.12248285768061
40,12864.3634750228,4.62988965773921,5.7869576588505,0.700437944389487,3.02946959122102,6.23410714182685,4.435041464219
41,8749.81814219854,4.69806947685637,5.98700756314252,1.41209727767286,3.17361048802671,6.3286901026906,4.75362130201281
42,7187.00093227771,4.38867147550592,5.55408408052213,-0.336223835150846,2.89127900281548,6.12452082150047,5.0645403023425
43,6494.36550261911,4.55827427234989,5.81343850302858,1.61272469672887,3.06085194932595,6.24356968230898,5.3114830708855
44,6062.83465606532,3.87068903287533,5.73898735436124,-0.257082102076333,3.08673162936724,6.20400954570923,5.46170963609242
45,5655.38530670878,4.84798308768564,6.73477333320183,1.15876630721453,3.26804628900071,6.27206879433762,5.57234229059481
46,5283.47760616973,4.78802815866512,6.16297758741073,1.68979900089002,3.16130762269649,6.33591439531099,5.71537610128376
47,5279.93615917783,4.20667881127371,5.83797696086913,-0.11305252688965,3.05988679939248,6.20084836873522,5.9031637688666
48,5173.87755058725,4.72442855396333,6.04013794473906,1.2479076130303,3.15234996594885,6.32145591934415,5.90316587342048
49,5150.83174860826,4.79180064618601,5.9119907007834,1.06874217152966,3.09675904010652,6.29380200271411,6.02005029479076
50,5149.15393035422,4.82937733341306,5.93419097576218,1.24283014572996,3.1260292976667,6.31382285984306,6.05997605002063
51,5149.16083393958,4.79249673013323,5.82959535388403,0.932391264408391,3.05684431539592,6.2669733234546,6.06390718910723
52,5149.13778337616,4.80412630010025,5.85642380118057,1.01451021405658,3.07554977247662,6.2791889654097,6.06390731058511
53,5149.13738843463,4.82823405260279,5.93328373658684,1.24222152679599,3.13095327400297,6.31374667933271,6.06394651262683
54,5149.12853136462,4.81659277843481,5.87240901456784,1.07202670455885,3.08701489034062,6.28665285683715,6.06394635363932
55,5149.12891114934,4.8266069438251,5.91255110736718,1.18499827294072,3.11581644447938,6.30458255856125,6.06395957003493
56,5149.12838091247,4.8194692608806,5.88242353200941,1.10024998395951,3.09419830508329,6.29113530047256,6.06395947339635
57,5149.12841035678,4.82430372359448,5.90046833478071,1.15154616629688,3.10709910694424,6.29920949782804,6.06395967642105
58,5149.12836712195,4.82087517219274,5.88737645208733,1.11439805658465,3.09774154351302,6.293353803037,6.0639596311295
59,5149.12836903854,4.82262100457313,5.89362998911668,1.13224836478648,3.10220777728691,6.29615451951395,6.0639596577015
60,5149.1283656448,4.82158036137562,5.8898513380211,1.1214725404182,3.09951241443484,6.29446241656363,6.06395964406756
61,5149.12836535723,4.82167925546851,5.89017983395127,1.12242259723936,3.09975070594366,6.29460964207316,6.06395964662523
62,5149.1283654753,4.8215436335146,5.88970345430225,1.12105957479057,3.09941271898759,6.29439601867964,6.06395964464641
63,5149.1283654753,4.8215436335146,5.88970345430225,1.12105957479057,3.09941271898759,6.29439601867964,6.06395964464641
64,5149.12836562342,4.82163481594593,5.89002523021876,1.12197999040357,3.09964197250933,6.29454021453562,6.06395964583408
65,5149.12836535723,4.82167925546851,5.89017983395127,1.12242259723936,3.09975070594366,6.29460964207316,6.06395964662523
