"STUDY","CONDITION","ID","USUBJID","TIME","DV","YTYPE","IXGDF","MDV","AMT","ADM","TINF","NT","TIMEUNIT","NAME","ADDL","II","UNIT","TRTNAME","TRT","DOSE","ROUTE","EVID","CENS","RATE","TAD","TIMEPOS","WT","LVW","CMT2"
1,1,1,1,0,.,.,1,1,"276800",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,27.68,1.3003,2
1,1,1,1,0.033,7333.59,1,2,0,"NA",.,0,0.033,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.033,0.033,27.68,1.3003,2
2,2,2,2,0,.,.,3,1,"269800",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,26.98,1.3003,2
2,2,2,2,0.033,4663.91,1,4,0,"NA",.,0,0.033,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.033,0.033,26.98,1.3003,2
3,3,3,3,0,.,.,5,1,"295700",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,29.57,1.3003,2
3,3,3,3,0.033,3794.48,1,6,0,"NA",.,0,0.033,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.033,0.033,29.57,1.3003,2
4,4,4,4,0,.,.,7,1,"298400",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,29.84,1.3003,2
4,4,4,4,0.083,1191.5,1,8,0,"NA",.,0,0.083,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.083,0.083,29.84,1.3003,2
5,5,5,5,0,.,.,9,1,"279700",1,0,0,"HOURS","INPUT1",0,0,.,"QD",1,10,"IV",1,0,"NA",0,0,27.97,1.3003,2
5,5,5,5,0.083,1178.81,1,10,0,"NA",.,0,0.083,"HOURS","OUTPUT1",0,0,.,"QD",1,10,"IV",0,0,"NA",0.083,0.083,27.97,1.3003,2
