Iteration,Obj,Q,V2,V3,CL,error_ADD1,error_PROP1
1,1095.17185422316,2.30258509299405,2.30258509299405,4.60517018598809,2.99573227355399,-6.90775527898214,0.405465108108164
2,913.144795241915,2.13174677904124,2.17876450590415,4.79020087543336,3.86477180563666,-6.90775527898545,-0.00198632245796759
3,1482.292063845,1.03540252497639,3.51362442872266,5.13427475575182,4.81224659614643,-6.90775527924002,-0.0110933542350857
4,846.886017201654,1.85863868843249,2.51876615914673,4.8751651866705,4.09378683728856,-6.90775527903968,0.0100140480566878
5,880.216385441763,1.22506986696839,3.04041249547982,5.14163482872188,4.58859389973196,-6.90775527973163,-0.0931146399632753
6,809.980219984496,1.70015166014375,2.64998148327682,4.94178356611855,4.21673994339099,-6.90775527920977,-0.0146622996761976
7,770.043513899193,1.37875419613571,2.91380928232632,5.08227092223127,4.44891036547244,-6.9077552803046,-0.0734735270435769
8,748.487623364519,1.62023632978312,3.25141381752866,4.94740163290256,4.69081170061002,-6.90775525943927,-0.0417942646241104
9,722.806044316765,2.09019828389517,3.92323261921414,4.67104210700928,5.19004030275743,-6.90775524211645,-0.0886074552292579
10,728.204129428214,3.36531276595449,4.82585090293295,5.73987748195214,5.83167414950305,-6.90775411398783,-0.0160800534197077
11,714.788793811447,2.43096211498707,4.18660663315824,4.8296152333532,5.37587902980689,-6.90775502775298,-0.0190907844296157
12,710.571810527553,3.02054269233264,4.5502411458831,5.47587957118687,5.66515971067294,-6.90775910600514,0.118123627832853
13,709.799758456349,3.01559803023124,4.51856585500055,5.53339481986815,5.65500477517844,-6.90786525841835,0.181254316522974
14,709.781843023655,3.01702659766333,4.51151329318919,5.55062255066373,5.64782638544358,-6.90783843548795,0.183333316062689
15,709.781811509873,3.0170586151217,4.51114857224237,5.55064232716342,5.64731548058617,-6.90783458183502,0.182690025296418
16,709.781811226447,3.01704946325356,4.51112837000005,5.5507111993181,5.64732511822875,-6.90783457104584,0.182746718910761
17,709.781811214376,3.01704693689451,4.5111296479941,5.55069509722919,5.64732121095455,-6.90783455714273,0.18273468513292
18,709.781811214376,3.01704693689451,4.5111296479941,5.55069509722919,5.64732121095455,-6.90783455714273,0.18273468513292
