ADM,CMT,0.033h,0.083h,0.25h,0.5h,0.75,1h,2h,3h,4h,6h,8h
1,3,7333.59,1191.50,879.32,1256.22,231.89,307.94,0.90,,1.02,0.00,0.61
1,3,4663.91,1178.81,525.94,356.47,21.36,551.86,4.80,,0.03,0.60,0.85
1,3,3794.48,1258.79,546.45,49.88,16.51,6.69,3.60,,1.20,3.05,0.38
2,3,21.44,25.68,44.58,21.49,76.97,7.46,3.20,16.55,3.85,0.00,0.00
2,3,16.60,9.52,30.57,47.16,19.56,59.38,1.15,2.56,7.78,0.16,0.55
2,3,22.37,46.71,5.01,46.16,15.36,22.34,24.32,1.84,2.80,2.70,2.44
1,2,,,,2380.662126,,2609.3689,1446.936618,,742.9967882,,336.62
1,2,,,,2030.279426,,2646.350228,2290.510442,,263.3053628,,404.01
1,2,,,,2419.749511,,3797.511118,1720.858311,,1127.964125,,284.38
2,2,,,,2964.291928,,2450.447373,4137.546534,,456.008471,,274.88
2,2,,,,3196.372155,,2816.353383,2532.975066,,1025.569986,,348.85
2,2,,,,2397.565638,,1970.84947,3250.648077,,774.0172182,,162.99
