ADM,CMT,0.033h,0.083h,0.25h,0.5h,0.75,1h,2h,3h,4h,6h,8h
1,3,27.68,29.84,28.20,28.36,28.89,27.74,28.10,,27.03,27.88,28.21
1,3,26.98,27.97,27.56,30.38,27.91,28.00,27.67,,28.29,26.51,27.20
1,3,29.57,30.52,28.24,27.61,29.03,29.03,26.52,,27.84,28.94,27.72
2,3,27.34,27.30,26.87,28.32,29.83,27.29,28.48,30.33,27.45,28.25,28.85
2,3,27.74,29.29,27.38,29.51,29.61,28.71,28.51,27.95,28.35,29.04,28.56
2,3,27.08,26.59,27.71,30.10,28.73,29.63,27.49,27.50,28.85,27.33,27.37
1,2,,,,1.3003,,1.5619,1.464,,1.5917,,1.7962
1,2,,,,1.6399,,1.1481,1.4273,,1.5331,,1.6345
1,2,,,,1.3386,,1.4717,1.2356,,1.5836,,1.7872
2,2,,,,1.2836,,1.3174,1.4402,,1.5539,,1.5658
2,2,,,,1.5218,,1.387,1.2256,,1.5491,,1.7403
2,2,,,,1.4692,,1.6987,1.2772,,1.4813,,1.5724
