"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV"
1,0,10000,.,1,2,0,.,1,1,1,10,2,1,0,0,0
1,0,.,0,0,2,.,.,1,1,1,10,2,1,0,0,0
1,0.033,.,7333.591109,0,2,.,.,1,1,1,10,2,1,0.033,0,0
1,0.083,.,1191.499024,0,2,.,.,1,1,1,10,2,1,0.083,0,0
1,0.25,.,879.3152968,0,2,.,.,1,1,1,10,2,1,0.25,0,0
1,0.5,.,1256.219973,0,2,.,.,1,1,1,10,2,1,0.5,0,0
1,0.7,.,231.8881452,0,2,.,.,1,1,1,10,2,1,0.7,0,0
1,1,.,307.9387439,0,2,.,.,1,1,1,10,2,1,1,0,0
1,2,.,0.896819127,0,2,.,.,1,1,1,10,2,1,2,0,0
1,4,.,1.016477515,0,2,.,.,1,1,1,10,2,1,4,0,0
1,6,.,.,1,2,.,.,1,1,1,10,2,1,6,1,0
1,8,.,0.60919652,0,2,.,.,1,1,1,10,2,1,8,0,0
2,0,10000,.,1,2,0,.,1,1,1,10,2,1,0,0,0
2,0,.,0,0,2,.,.,1,1,1,10,2,1,0,0,0
2,0.033,.,4663.90779,0,2,.,.,1,1,1,10,2,1,0.033,0,0
2,0.083,.,1178.813932,0,2,.,.,1,1,1,10,2,1,0.083,0,0
2,0.25,.,525.9425231,0,2,.,.,1,1,1,10,2,1,0.25,0,0
2,0.5,.,356.4728192,0,2,.,.,1,1,1,10,2,1,0.5,0,0
2,0.75,.,21.35988556,0,2,.,.,1,1,1,10,2,1,0.75,0,0
2,1,.,551.8633632,0,2,.,.,1,1,1,10,2,1,1,0,0
2,2,.,4.798120871,0,2,.,.,1,1,1,10,2,1,2,0,0
2,4,.,0.033423714,0,2,.,.,1,1,1,10,2,1,4,0,0
2,6,.,0.596996931,0,2,.,.,1,1,1,10,2,1,6,0,0
2,8,.,0.845916206,0,2,.,.,1,1,1,10,2,1,8,0,0
3,0,10000,.,1,2,0,.,1,1,1,10,2,1,0,0,0
3,0,.,0,0,2,.,.,1,1,1,10,2,1,0,0,0
3,0.033,.,3794.482143,0,2,.,.,1,1,1,10,2,1,0.033,0,0
3,0.083,.,1258.7919,0,2,.,.,1,1,1,10,2,1,0.083,0,0
3,0.25,.,546.4474224,0,2,.,.,1,1,1,10,2,1,0.25,0,0
3,0.5,.,49.87784698,0,2,.,.,1,1,1,10,2,1,0.5,0,0
3,0.75,.,16.50526216,0,2,.,.,1,1,1,10,2,1,0.75,0,0
3,1,.,6.693468058,0,2,.,.,1,1,1,10,2,1,1,0,0
3,2,.,3.601134287,0,2,.,.,1,1,1,10,2,1,2,0,0
3,4,.,1.197243828,0,2,.,.,1,1,1,10,2,1,4,0,0
3,6,.,3.046639497,0,2,.,.,1,1,1,10,2,1,6,0,0
3,8,.,0.380224552,0,2,.,.,1,1,1,10,2,1,8,0,0
4,0,10000,.,1,1,0,.,1,1,1,10,1,1,0,0,0
4,0,.,0,0,2,.,.,1,1,1,10,1,1,0,0,0
