ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,SECOND,RATE
1,0,276800,.,1,1,.,.,1,10,1,1,0,0,27.68,1.3003,0,-2
1,0,276800,.,1,1,.,.,1,10,1,1,0,0,27.68,1.3003,1,-2
1,0.033,.,7333.59,0,1,.,.,1,10,1,1,0.033,0,27.68,1.3003,0,.
2,0,269800,.,1,1,.,.,1,10,1,1,0,0,26.98,1.3003,0,-2
2,0,269800,.,1,1,.,.,1,10,1,1,0,0,26.98,1.3003,1,-2
2,0.033,.,4663.91,0,1,.,.,1,10,1,1,0.033,0,26.98,1.3003,0,.
3,0,295700,.,1,1,.,.,1,10,1,1,0,0,29.57,1.3003,0,-2
3,0,295700,.,1,1,.,.,1,10,1,1,0,0,29.57,1.3003,1,-2
3,0.033,.,3794.48,0,1,.,.,1,10,1,1,0.033,0,29.57,1.3003,0,.
4,0,298400,.,1,1,.,.,1,10,1,1,0,0,29.84,1.3003,0,-2
4,0,298400,.,1,1,.,.,1,10,1,1,0,0,29.84,1.3003,1,-2
4,0.083,.,1191.5,0,1,.,.,1,10,1,1,0.083,0,29.84,1.3003,0,.
5,0,279700,.,1,1,.,.,1,10,1,1,0,0,27.97,1.3003,0,-2
5,0,279700,.,1,1,.,.,1,10,1,1,0,0,27.97,1.3003,1,-2
5,0.083,.,1178.81,0,1,.,.,1,10,1,1,0.083,0,27.97,1.3003,0,.
6,0,305200,.,1,1,.,.,1,10,1,1,0,0,30.52,1.3003,0,-2
6,0,305200,.,1,1,.,.,1,10,1,1,0,0,30.52,1.3003,1,-2
6,0.083,.,1258.79,0,1,.,.,1,10,1,1,0.083,0,30.52,1.3003,0,.
7,0,282000,.,1,1,.,.,1,10,1,1,0,0,28.2,1.3003,0,-2
7,0,282000,.,1,1,.,.,1,10,1,1,0,0,28.2,1.3003,1,-2
7,0.25,.,879.32,0,1,.,.,1,10,1,1,0.25,0,28.2,1.3003,0,.
8,0,275600,.,1,1,.,.,1,10,1,1,0,0,27.56,1.3003,0,-2
8,0,275600,.,1,1,.,.,1,10,1,1,0,0,27.56,1.3003,1,-2
8,0.25,.,525.94,0,1,.,.,1,10,1,1,0.25,0,27.56,1.3003,0,.
9,0,282400,.,1,1,.,.,1,10,1,1,0,0,28.24,1.3003,0,-2
9,0,282400,.,1,1,.,.,1,10,1,1,0,0,28.24,1.3003,1,-2
9,0.25,.,546.45,0,1,.,.,1,10,1,1,0.25,0,28.24,1.3003,0,.
10,0,283600,.,1,1,.,.,1,10,1,1,0,0,28.36,1.3003,0,-2
10,0,283600,.,1,1,.,.,1,10,1,1,0,0,28.36,1.3003,1,-2
10,0.5,.,1256.22,0,1,.,.,1,10,1,1,0.5,0,28.36,1.3003,0,.
11,0,303800,.,1,1,.,.,1,10,1,1,0,0,30.38,1.6399,0,-2
11,0,303800,.,1,1,.,.,1,10,1,1,0,0,30.38,1.6399,1,-2
11,0.5,.,356.47,0,1,.,.,1,10,1,1,0.5,0,30.38,1.6399,0,.
12,0,276100,.,1,1,.,.,1,10,1,1,0,0,27.61,1.3386,0,-2
12,0,276100,.,1,1,.,.,1,10,1,1,0,0,27.61,1.3386,1,-2
12,0.5,.,49.88,0,1,.,.,1,10,1,1,0.5,0,27.61,1.3386,0,.
13,0,288900,.,1,1,.,.,1,10,1,1,0,0,28.89,1.5619,0,-2
13,0,288900,.,1,1,.,.,1,10,1,1,0,0,28.89,1.5619,1,-2
13,0.75,.,231.89,0,1,.,.,1,10,1,1,0.75,0,28.89,1.5619,0,.
14,0,279100,.,1,1,.,.,1,10,1,1,0,0,27.91,1.5619,0,-2
14,0,279100,.,1,1,.,.,1,10,1,1,0,0,27.91,1.5619,1,-2
14,0.75,.,21.36,0,1,.,.,1,10,1,1,0.75,0,27.91,1.5619,0,.
15,0,290300,.,1,1,.,.,1,10,1,1,0,0,29.03,1.5619,0,-2
15,0,290300,.,1,1,.,.,1,10,1,1,0,0,29.03,1.5619,1,-2
15,0.75,.,16.51,0,1,.,.,1,10,1,1,0.75,0,29.03,1.5619,0,.
16,0,277400,.,1,1,.,.,1,10,1,1,0,0,27.74,1.5619,0,-2
16,0,277400,.,1,1,.,.,1,10,1,1,0,0,27.74,1.5619,1,-2
16,1,.,307.94,0,1,.,.,1,10,1,1,1,0,27.74,1.5619,0,.
17,0,280000,.,1,1,.,.,1,10,1,1,0,0,28,1.1481,0,-2
17,0,280000,.,1,1,.,.,1,10,1,1,0,0,28,1.1481,1,-2
17,1,.,551.86,0,1,.,.,1,10,1,1,1,0,28,1.1481,0,.
18,0,290300,.,1,1,.,.,1,10,1,1,0,0,29.03,1.4717,0,-2
18,0,290300,.,1,1,.,.,1,10,1,1,0,0,29.03,1.4717,1,-2
18,1,.,6.69,0,1,.,.,1,10,1,1,1,0,29.03,1.4717,0,.
19,0,281000,.,1,1,.,.,1,10,1,1,0,0,28.1,1.464,0,-2
19,0,281000,.,1,1,.,.,1,10,1,1,0,0,28.1,1.464,1,-2
19,2,.,0.9,0,1,.,.,1,10,1,1,2,0,28.1,1.464,0,.
20,0,276700,.,1,1,.,.,1,10,1,1,0,0,27.67,1.4273,0,-2
20,0,276700,.,1,1,.,.,1,10,1,1,0,0,27.67,1.4273,1,-2
20,2,.,4.8,0,1,.,.,1,10,1,1,2,0,27.67,1.4273,0,.
21,0,265200,.,1,1,.,.,1,10,1,1,0,0,26.52,1.2356,0,-2
21,0,265200,.,1,1,.,.,1,10,1,1,0,0,26.52,1.2356,1,-2
21,2,.,3.6,0,1,.,.,1,10,1,1,2,0,26.52,1.2356,0,.
25,0,270300,.,1,1,.,.,1,10,1,1,0,0,27.03,1.5917,0,-2
25,0,270300,.,1,1,.,.,1,10,1,1,0,0,27.03,1.5917,1,-2
25,4,.,1.02,0,1,.,.,1,10,1,1,4,0,27.03,1.5917,0,.
26,0,282900,.,1,1,.,.,1,10,1,1,0,0,28.29,1.5331,0,-2
26,0,282900,.,1,1,.,.,1,10,1,1,0,0,28.29,1.5331,1,-2
26,4,.,0.03,0,1,.,.,1,10,1,1,4,0,28.29,1.5331,0,.
27,0,278400,.,1,1,.,.,1,10,1,1,0,0,27.84,1.5836,0,-2
27,0,278400,.,1,1,.,.,1,10,1,1,0,0,27.84,1.5836,1,-2
27,4,.,1.2,0,1,.,.,1,10,1,1,4,0,27.84,1.5836,0,.
29,0,265100,.,1,1,.,.,1,10,1,1,0,0,26.51,1.7962,0,-2
29,0,265100,.,1,1,.,.,1,10,1,1,0,0,26.51,1.7962,1,-2
29,6,.,0.6,0,1,.,.,1,10,1,1,6,0,26.51,1.7962,0,.
30,0,289400,.,1,1,.,.,1,10,1,1,0,0,28.94,1.7962,0,-2
30,0,289400,.,1,1,.,.,1,10,1,1,0,0,28.94,1.7962,1,-2
30,6,.,3.05,0,1,.,.,1,10,1,1,6,0,28.94,1.7962,0,.
31,0,282100,.,1,1,.,.,1,10,1,1,0,0,28.21,1.7962,0,-2
31,0,282100,.,1,1,.,.,1,10,1,1,0,0,28.21,1.7962,1,-2
31,8,.,0.61,0,1,.,.,1,10,1,1,8,0,28.21,1.7962,0,.
32,0,272000,.,1,1,.,.,1,10,1,1,0,0,27.2,1.6345,0,-2
32,0,272000,.,1,1,.,.,1,10,1,1,0,0,27.2,1.6345,1,-2
32,8,.,0.85,0,1,.,.,1,10,1,1,8,0,27.2,1.6345,0,.
33,0,277200,.,1,1,.,.,1,10,1,1,0,0,27.72,1.7872,0,-2
33,0,277200,.,1,1,.,.,1,10,1,1,0,0,27.72,1.7872,1,-2
33,8,.,0.38,0,1,.,.,1,10,1,1,8,0,27.72,1.7872,0,.
67,0,280000,.,1,1,.,.,1,10,1,1,0.017,0,28,1.4,0,0
67,0,280000,.,1,1,.,.,1,10,1,1,0.017,0,28,1.4,1,0
67,0.017,.,7256,0,1,.,.,1,10,1,1,0.017,0,28,1.4,0,.
68,0,280000,.,1,1,.,.,1,10,1,1,0.017,0,28,1.4,0,0
68,0,280000,.,1,1,.,.,1,10,1,1,0.017,0,28,1.4,1,0
68,0.017,.,8399.9,0,1,.,.,1,10,1,1,0.017,0,28,1.4,0,.
69,0,280000,.,1,1,.,.,1,10,1,1,0.017,0,28,1.4,0,0
69,0,280000,.,1,1,.,.,1,10,1,1,0.017,0,28,1.4,1,0
69,0.017,.,10783.4,0,1,.,.,1,10,1,1,0.017,0,28,1.4,0,.
70,0,280000,.,1,1,.,.,1,10,1,1,0.083,0,28,1.4,0,0
70,0,280000,.,1,1,.,.,1,10,1,1,0.083,0,28,1.4,1,0
70,0.083,.,1942.4,0,1,.,.,1,10,1,1,0.083,0,28,1.4,0,.
71,0,280000,.,1,1,.,.,1,10,1,1,0.083,0,28,1.4,0,0
71,0,280000,.,1,1,.,.,1,10,1,1,0.083,0,28,1.4,1,0
71,0.083,.,1919.4,0,1,.,.,1,10,1,1,0.083,0,28,1.4,0,.
72,0,280000,.,1,1,.,.,1,10,1,1,0.083,0,28,1.4,0,0
72,0,280000,.,1,1,.,.,1,10,1,1,0.083,0,28,1.4,1,0
72,0.083,.,1731.5,0,1,.,.,1,10,1,1,0.083,0,28,1.4,0,.
73,0,280000,.,1,1,.,.,1,10,1,1,0.25,0,28,1.4,0,0
73,0,280000,.,1,1,.,.,1,10,1,1,0.25,0,28,1.4,1,0
73,0.25,.,211.7,0,1,.,.,1,10,1,1,0.25,0,28,1.4,0,.
74,0,280000,.,1,1,.,.,1,10,1,1,0.25,0,28,1.4,0,0
74,0,280000,.,1,1,.,.,1,10,1,1,0.25,0,28,1.4,1,0
74,0.25,.,308.5,0,1,.,.,1,10,1,1,0.25,0,28,1.4,0,.
75,0,280000,.,1,1,.,.,1,10,1,1,0.25,0,28,1.4,0,0
75,0,280000,.,1,1,.,.,1,10,1,1,0.25,0,28,1.4,1,0
75,0.25,.,304.6,0,1,.,.,1,10,1,1,0.25,0,28,1.4,0,.
76,0,280000,.,1,1,.,.,1,10,1,1,0.5,0,28,1.4,0,0
76,0,280000,.,1,1,.,.,1,10,1,1,0.5,0,28,1.4,1,0
76,0.5,.,71.7,0,1,.,.,1,10,1,1,0.5,0,28,1.4,0,.
77,0,280000,.,1,1,.,.,1,10,1,1,0.5,0,28,1.4,0,0
77,0,280000,.,1,1,.,.,1,10,1,1,0.5,0,28,1.4,1,0
77,0.5,.,169.5,0,1,.,.,1,10,1,1,0.5,0,28,1.4,0,.
78,0,280000,.,1,1,.,.,1,10,1,1,0.5,0,28,1.4,0,0
78,0,280000,.,1,1,.,.,1,10,1,1,0.5,0,28,1.4,1,0
78,0.5,.,192.5,0,1,.,.,1,10,1,1,0.5,0,28,1.4,0,.
79,0,280000,.,1,1,.,.,1,10,1,1,1,0,28,1.4,0,0
79,0,280000,.,1,1,.,.,1,10,1,1,1,0,28,1.4,1,0
79,1,.,309.4,0,1,.,.,1,10,1,1,1,0,28,1.4,0,.
80,0,280000,.,1,1,.,.,1,10,1,1,1,0,28,1.4,0,0
80,0,280000,.,1,1,.,.,1,10,1,1,1,0,28,1.4,1,0
80,1,.,72.4,0,1,.,.,1,10,1,1,1,0,28,1.4,0,.
81,0,280000,.,1,1,.,.,1,10,1,1,1,0,28,1.4,0,0
81,0,280000,.,1,1,.,.,1,10,1,1,1,0,28,1.4,1,0
81,1,.,17.6,0,1,.,.,1,10,1,1,1,0,28,1.4,0,.
82,0,280000,.,1,1,.,.,1,10,1,1,2,0,28,1.4,0,0
82,0,280000,.,1,1,.,.,1,10,1,1,2,0,28,1.4,1,0
82,2,.,4.5,0,1,.,.,1,10,1,1,2,0,28,1.4,0,.
83,0,280000,.,1,1,.,.,1,10,1,1,2,0,28,1.4,0,0
83,0,280000,.,1,1,.,.,1,10,1,1,2,0,28,1.4,1,0
83,2,.,4.5,0,1,.,.,1,10,1,1,2,0,28,1.4,0,.
84,0,280000,.,1,1,.,.,1,10,1,1,2,0,28,1.4,0,0
84,0,280000,.,1,1,.,.,1,10,1,1,2,0,28,1.4,1,0
84,2,.,9.8,0,1,.,.,1,10,1,1,2,0,28,1.4,0,.
85,0,280000,.,1,1,.,.,1,10,1,1,4,0,28,1.4,0,0
85,0,280000,.,1,1,.,.,1,10,1,1,4,0,28,1.4,1,0
85,4,.,5.4,0,1,.,.,1,10,1,1,4,0,28,1.4,0,.
86,0,280000,.,1,1,.,.,1,10,1,1,4,0,28,1.4,0,0
86,0,280000,.,1,1,.,.,1,10,1,1,4,0,28,1.4,1,0
86,4,.,0.2,0,1,.,.,1,10,1,1,4,0,28,1.4,0,.
87,0,280000,.,1,1,.,.,1,10,1,1,4,0,28,1.4,0,0
87,0,280000,.,1,1,.,.,1,10,1,1,4,0,28,1.4,1,0
87,4,.,13.6,0,1,.,.,1,10,1,1,4,0,28,1.4,0,.
88,0,280000,.,1,1,.,.,1,10,1,1,6,0,28,1.4,0,0
88,0,280000,.,1,1,.,.,1,10,1,1,6,0,28,1.4,1,0
88,6,.,16.1,0,1,.,.,1,10,1,1,6,0,28,1.4,0,.
89,0,280000,.,1,1,.,.,1,10,1,1,6,0,28,1.4,0,0
89,0,280000,.,1,1,.,.,1,10,1,1,6,0,28,1.4,1,0
89,6,.,0.4,0,1,.,.,1,10,1,1,6,0,28,1.4,0,.
90,0,280000,.,1,1,.,.,1,10,1,1,6,0,28,1.4,0,0
90,0,280000,.,1,1,.,.,1,10,1,1,6,0,28,1.4,1,0
90,6,.,0.6,0,1,.,.,1,10,1,1,6,0,28,1.4,0,.
91,0,280000,.,1,1,.,.,1,10,1,1,8,0,28,1.4,0,0
91,0,280000,.,1,1,.,.,1,10,1,1,8,0,28,1.4,1,0
91,8,.,0.5,0,1,.,.,1,10,1,1,8,0,28,1.4,0,.
92,0,280000,.,1,1,.,.,1,10,1,1,8,0,28,1.4,0,0
92,0,280000,.,1,1,.,.,1,10,1,1,8,0,28,1.4,1,0
92,8,.,0.6,0,1,.,.,1,10,1,1,8,0,28,1.4,0,.
93,0,280000,.,1,1,.,.,1,10,1,1,8,0,28,1.4,0,0
93,0,280000,.,1,1,.,.,1,10,1,1,8,0,28,1.4,1,0
93,8,.,3.5,0,1,.,.,1,10,1,1,8,0,28,1.4,0,.
94,0,280000,.,1,1,.,.,1,10,1,1,12,0,28,1.4,0,0
94,0,280000,.,1,1,.,.,1,10,1,1,12,0,28,1.4,1,0
94,12,.,0.4,0,1,.,.,1,10,1,1,12,0,28,1.4,0,.
95,0,280000,.,1,1,.,.,1,10,1,1,12,0,28,1.4,0,0
95,0,280000,.,1,1,.,.,1,10,1,1,12,0,28,1.4,1,0
95,12,.,0.6,0,1,.,.,1,10,1,1,12,0,28,1.4,0,.
96,0,280000,.,1,1,.,.,1,10,1,1,12,0,28,1.4,0,0
96,0,280000,.,1,1,.,.,1,10,1,1,12,0,28,1.4,1,0
96,12,.,6.8,0,1,.,.,1,10,1,1,12,0,28,1.4,0,.
97,0,280000,.,1,1,.,.,1,10,1,1,24,0,28,1.4,0,0
97,0,280000,.,1,1,.,.,1,10,1,1,24,0,28,1.4,1,0
97,24,.,0.4,0,1,.,.,1,10,1,1,24,0,28,1.4,0,.
98,0,280000,.,1,1,.,.,1,10,1,1,24,0,28,1.4,0,0
98,0,280000,.,1,1,.,.,1,10,1,1,24,0,28,1.4,1,0
98,24,.,2.2,0,1,.,.,1,10,1,1,24,0,28,1.4,0,.
99,0,280000,.,1,1,.,.,1,10,1,1,24,0,28,1.4,0,0
99,0,280000,.,1,1,.,.,1,10,1,1,24,0,28,1.4,1,0
