TABLE NO.  1
 ID          TIME        AMT         CMT         DV          MDV         IPRED       CWRES       IWRES       ROUTE       DOSE        DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  2.7680E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.6664E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.6664E+03  0.0000E+00  0.0000E+00
  1.0000E+00  3.3000E-02  0.0000E+00  2.0000E+00  7.3336E+03  0.0000E+00  3.2518E+03  9.0652E-01  9.0652E-01  1.0000E+00  1.0000E+01  7.3336E+03  3.2518E+03  4.0818E+03  9.0652E-01
  2.0000E+00  0.0000E+00  2.6980E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.4220E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.4220E+03  0.0000E+00  0.0000E+00
  2.0000E+00  3.3000E-02  0.0000E+00  2.0000E+00  4.6639E+03  0.0000E+00  3.1695E+03  3.4049E-01  3.4049E-01  1.0000E+00  1.0000E+01  4.6639E+03  3.1695E+03  1.4944E+03  3.4049E-01
  3.0000E+00  0.0000E+00  2.9570E+05  2.0000E+00  0.0000E+00  1.0000E+00  1.0326E+04  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.0326E+04  0.0000E+00  0.0000E+00
  3.0000E+00  3.3000E-02  0.0000E+00  2.0000E+00  3.7945E+03  0.0000E+00  3.4738E+03  6.6665E-02  6.6665E-02  1.0000E+00  1.0000E+01  3.7945E+03  3.4738E+03  3.2067E+02  6.6665E-02
  4.0000E+00  0.0000E+00  2.9840E+05  2.0000E+00  0.0000E+00  1.0000E+00  1.0421E+04  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.0421E+04  0.0000E+00  0.0000E+00
  4.0000E+00  8.3000E-02  0.0000E+00  2.0000E+00  1.1915E+03  0.0000E+00  8.0315E+02  3.4920E-01  3.4920E-01  1.0000E+00  1.0000E+01  1.1915E+03  8.0315E+02  3.8835E+02  3.4920E-01
  5.0000E+00  0.0000E+00  2.7970E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.7677E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.7677E+03  0.0000E+00  0.0000E+00
  5.0000E+00  8.3000E-02  0.0000E+00  2.0000E+00  1.1788E+03  0.0000E+00  7.5282E+02  4.0866E-01  4.0866E-01  1.0000E+00  1.0000E+01  1.1788E+03  7.5282E+02  4.2599E+02  4.0866E-01
  6.0000E+00  0.0000E+00  3.0520E+05  2.0000E+00  0.0000E+00  1.0000E+00  1.0658E+04  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.0658E+04  0.0000E+00  0.0000E+00
  6.0000E+00  8.3000E-02  0.0000E+00  2.0000E+00  1.2588E+03  0.0000E+00  8.2145E+02  3.8449E-01  3.8449E-01  1.0000E+00  1.0000E+01  1.2588E+03  8.2145E+02  4.3734E+02  3.8449E-01
  7.0000E+00  0.0000E+00  2.8200E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.8480E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.8480E+03  0.0000E+00  0.0000E+00
  7.0000E+00  2.5000E-01  0.0000E+00  2.0000E+00  8.7932E+02  0.0000E+00  1.9213E+02  2.5830E+00  2.5830E+00  1.0000E+00  1.0000E+01  8.7932E+02  1.9213E+02  6.8719E+02  2.5830E+00
  8.0000E+00  0.0000E+00  2.7560E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.6245E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.6245E+03  0.0000E+00  0.0000E+00
  8.0000E+00  2.5000E-01  0.0000E+00  2.0000E+00  5.2594E+02  0.0000E+00  1.8777E+02  1.3006E+00  1.3006E+00  1.0000E+00  1.0000E+01  5.2594E+02  1.8777E+02  3.3817E+02  1.3006E+00
  9.0000E+00  0.0000E+00  2.8240E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.8620E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.8620E+03  0.0000E+00  0.0000E+00
  9.0000E+00  2.5000E-01  0.0000E+00  2.0000E+00  5.4645E+02  0.0000E+00  1.9240E+02  1.3289E+00  1.3289E+00  1.0000E+00  1.0000E+01  5.4645E+02  1.9240E+02  3.5405E+02  1.3289E+00
  1.0000E+01  0.0000E+00  2.8360E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.9039E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.9039E+03  0.0000E+00  0.0000E+00
  1.0000E+01  5.0000E-01  0.0000E+00  2.0000E+00  1.2562E+03  0.0000E+00  1.7981E+02  4.3232E+00  4.3232E+00  1.0000E+00  1.0000E+01  1.2562E+03  1.7981E+02  1.0764E+03  4.3232E+00
  1.1000E+01  0.0000E+00  3.0380E+05  2.0000E+00  0.0000E+00  1.0000E+00  1.0609E+04  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.0609E+04  0.0000E+00  0.0000E+00
  1.1000E+01  5.0000E-01  0.0000E+00  2.0000E+00  3.5647E+02  0.0000E+00  1.9262E+02  6.1431E-01  6.1431E-01  1.0000E+00  1.0000E+01  3.5647E+02  1.9262E+02  1.6385E+02  6.1431E-01
  1.2000E+01  0.0000E+00  2.7610E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.6420E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.6420E+03  0.0000E+00  0.0000E+00
  1.2000E+01  5.0000E-01  0.0000E+00  2.0000E+00  4.9880E+01  0.0000E+00  1.7506E+02 -5.1641E-01 -5.1641E-01  1.0000E+00  1.0000E+01  4.9880E+01  1.7506E+02 -1.2518E+02 -5.1641E-01
  1.3000E+01  0.0000E+00  2.8890E+05  2.0000E+00  0.0000E+00  1.0000E+00  1.0089E+04  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.0089E+04  0.0000E+00  0.0000E+00
  1.3000E+01  7.5000E-01  0.0000E+00  2.0000E+00  2.3189E+02  0.0000E+00  1.7210E+02  2.5088E-01  2.5088E-01  1.0000E+00  1.0000E+01  2.3189E+02  1.7210E+02  5.9788E+01  2.5088E-01
  1.4000E+01  0.0000E+00  2.7910E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.7467E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.7467E+03  0.0000E+00  0.0000E+00
  1.4000E+01  7.5000E-01  0.0000E+00  2.0000E+00  2.1360E+01  0.0000E+00  1.6626E+02 -6.2940E-01 -6.2940E-01  1.0000E+00  1.0000E+01  2.1360E+01  1.6626E+02 -1.4490E+02 -6.2940E-01
  1.5000E+01  0.0000E+00  2.9030E+05  2.0000E+00  0.0000E+00  1.0000E+00  1.0138E+04  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.0138E+04  0.0000E+00  0.0000E+00
  1.5000E+01  7.5000E-01  0.0000E+00  2.0000E+00  1.6510E+01  0.0000E+00  1.7294E+02 -6.5324E-01 -6.5324E-01  1.0000E+00  1.0000E+01  1.6510E+01  1.7294E+02 -1.5643E+02 -6.5324E-01
  1.6000E+01  0.0000E+00  2.7740E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.6874E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.6874E+03  0.0000E+00  0.0000E+00
  1.6000E+01  1.0000E+00  0.0000E+00  2.0000E+00  3.0794E+02  0.0000E+00  1.5526E+02  7.1015E-01  7.1015E-01  1.0000E+00  1.0000E+01  3.0794E+02  1.5526E+02  1.5268E+02  7.1015E-01
  1.7000E+01  0.0000E+00  2.8000E+05  2.0000E+00  0.0000E+00  1.0000E+00  9.7782E+03  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.7782E+03  0.0000E+00  0.0000E+00
  1.7000E+01  1.0000E+00  0.0000E+00  2.0000E+00  5.5186E+02  0.0000E+00  1.5672E+02  1.8209E+00  1.8209E+00  1.0000E+00  1.0000E+01  5.5186E+02  1.5672E+02  3.9514E+02  1.8209E+00
  1.8000E+01  0.0000E+00  2.9030E+05  2.0000E+00  0.0000E+00  1.0000E+00  1.0138E+04  0.0000E+00 -7.2218E-01  1.0000E+00  1.0000E+01  0.0000E+00  1.0138E+04  0.0000E+00  0.0000E+00
  1.8000E+01  1.0000E+00  0.0000E+00  2.0000E+00  6.6900E+00  0.0000E+00  1.6248E+02 -6.9245E-01 -6.9245E-01  1.0000E+00  1.0000E+01  6.6900E+00  1.6248E+02 -1.5579E+02 -6.9245E-01
