TABLE NO.  1
 ID          TIME        AMT         CMT         DV          MDV         IPRED       CWRES       IWRES       ROUTE       DOSE        DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  2.7680E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.5362E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.5362E+03  0.0000E+00  0.0000E+00
  1.0000E+00  3.3000E-02  0.0000E+00  1.0000E+00  7.3336E+03  0.0000E+00  2.9413E+03  1.0532E+00  1.0532E+00  1.0000E+00  1.0000E+01  7.3336E+03  2.9413E+03  4.3923E+03  1.0532E+00
  2.0000E+00  0.0000E+00  2.6980E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.3203E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.3203E+03  0.0000E+00  0.0000E+00
  2.0000E+00  3.3000E-02  0.0000E+00  1.0000E+00  4.6639E+03  0.0000E+00  2.8669E+03  4.4208E-01  4.4208E-01  1.0000E+00  1.0000E+01  4.6639E+03  2.8669E+03  1.7970E+03  4.4208E-01
  3.0000E+00  0.0000E+00  2.9570E+05  1.0000E+00  0.0000E+00  1.0000E+00  9.1190E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.1190E+03  0.0000E+00  0.0000E+00
  3.0000E+00  3.3000E-02  0.0000E+00  1.0000E+00  3.7945E+03  0.0000E+00  3.1421E+03  1.4643E-01  1.4643E-01  1.0000E+00  1.0000E+01  3.7945E+03  3.1421E+03  6.5235E+02  1.4643E-01
  4.0000E+00  0.0000E+00  2.9840E+05  1.0000E+00  0.0000E+00  1.0000E+00  9.2023E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.2023E+03  0.0000E+00  0.0000E+00
  4.0000E+00  8.3000E-02  0.0000E+00  1.0000E+00  1.1915E+03  0.0000E+00  7.4788E+02  4.1835E-01  4.1835E-01  1.0000E+00  1.0000E+01  1.1915E+03  7.4788E+02  4.4362E+02  4.1835E-01
  5.0000E+00  0.0000E+00  2.7970E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.6256E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.6256E+03  0.0000E+00  0.0000E+00
  5.0000E+00  8.3000E-02  0.0000E+00  1.0000E+00  1.1788E+03  0.0000E+00  7.0102E+02  4.8071E-01  4.8071E-01  1.0000E+00  1.0000E+01  1.1788E+03  7.0102E+02  4.7779E+02  4.8071E-01
  6.0000E+00  0.0000E+00  3.0520E+05  1.0000E+00  0.0000E+00  1.0000E+00  9.4120E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.4120E+03  0.0000E+00  0.0000E+00
  6.0000E+00  8.3000E-02  0.0000E+00  1.0000E+00  1.2588E+03  0.0000E+00  7.6493E+02  4.5536E-01  4.5536E-01  1.0000E+00  1.0000E+01  1.2588E+03  7.6493E+02  4.9386E+02  4.5536E-01
  7.0000E+00  0.0000E+00  2.8200E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.6966E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.6966E+03  0.0000E+00  0.0000E+00
  7.0000E+00  2.5000E-01  0.0000E+00  1.0000E+00  8.7932E+02  0.0000E+00  1.7700E+02  2.7985E+00  2.7985E+00  1.0000E+00  1.0000E+01  8.7932E+02  1.7700E+02  7.0232E+02  2.7985E+00
  8.0000E+00  0.0000E+00  2.7560E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.4992E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.4992E+03  0.0000E+00  0.0000E+00
  8.0000E+00  2.5000E-01  0.0000E+00  1.0000E+00  5.2594E+02  0.0000E+00  1.7299E+02  1.4390E+00  1.4390E+00  1.0000E+00  1.0000E+01  5.2594E+02  1.7299E+02  3.5295E+02  1.4390E+00
  9.0000E+00  0.0000E+00  2.8240E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.7089E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.7089E+03  0.0000E+00  0.0000E+00
  9.0000E+00  2.5000E-01  0.0000E+00  1.0000E+00  5.4645E+02  0.0000E+00  1.7725E+02  1.4690E+00  1.4690E+00  1.0000E+00  1.0000E+01  5.4645E+02  1.7725E+02  3.6920E+02  1.4690E+00
  1.0000E+01  0.0000E+00  2.8360E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.7459E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.7459E+03  0.0000E+00  0.0000E+00
  1.0000E+01  5.0000E-01  0.0000E+00  1.0000E+00  1.2562E+03  0.0000E+00  1.6758E+02  4.5817E+00  4.5817E+00  1.0000E+00  1.0000E+01  1.2562E+03  1.6758E+02  1.0886E+03  4.5817E+00
  1.1000E+01  0.0000E+00  3.0380E+05  1.0000E+00  0.0000E+00  1.0000E+00  9.3688E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  9.3688E+03  0.0000E+00  0.0000E+00
  1.1000E+01  5.0000E-01  0.0000E+00  1.0000E+00  3.5647E+02  0.0000E+00  1.7952E+02  6.9522E-01  6.9522E-01  1.0000E+00  1.0000E+01  3.5647E+02  1.7952E+02  1.7695E+02  6.9522E-01
  1.2000E+01  0.0000E+00  2.7610E+05  1.0000E+00  0.0000E+00  1.0000E+00  8.5146E+03  0.0000E+00 -7.0529E-01  1.0000E+00  1.0000E+01  0.0000E+00  8.5146E+03  0.0000E+00  0.0000E+00
  1.2000E+01  5.0000E-01  0.0000E+00  1.0000E+00  4.9880E+01  0.0000E+00  1.6315E+02 -4.8966E-01 -4.8966E-01  1.0000E+00  1.0000E+01  4.9880E+01  1.6315E+02 -1.1327E+02 -4.8966E-01
