ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
1,0.033,.,7333.59,0,3,.,.,1,10,1,1,0.033,0,27.68,1.3003,2,.
2,0.033,.,4663.91,0,3,.,.,1,10,1,1,0.033,0,26.98,1.3003,2,.
3,0.033,.,3794.48,0,3,.,.,1,10,1,1,0.033,0,29.57,1.3003,2,.
4,0.083,.,1191.5,0,3,.,.,1,10,1,1,0.083,0,29.84,1.3003,2,.
5,0.083,.,1178.81,0,3,.,.,1,10,1,1,0.083,0,27.97,1.3003,2,.
6,0.083,.,1258.79,0,3,.,.,1,10,1,1,0.083,0,30.52,1.3003,2,.
7,0.25,.,879.32,0,3,.,.,1,10,1,1,0.25,0,28.2,1.3003,2,.
8,0.25,.,525.94,0,3,.,.,1,10,1,1,0.25,0,27.56,1.3003,2,.
9,0.25,.,546.45,0,3,.,.,1,10,1,1,0.25,0,28.24,1.3003,2,.
10,0.5,.,1256.22,0,3,.,.,1,10,1,1,0.5,0,28.36,1.3003,2,.
11,0.5,.,356.47,0,3,.,.,1,10,1,1,0.5,0,30.38,1.6399,2,.
12,0.5,.,49.88,0,3,.,.,1,10,1,1,0.5,0,27.61,1.3386,2,.
13,0.75,.,231.89,0,3,.,.,1,10,1,1,0.75,0,28.89,1.5619,2,.
14,0.75,.,21.36,0,3,.,.,1,10,1,1,0.75,0,27.91,1.5619,2,.
15,0.75,.,16.51,0,3,.,.,1,10,1,1,0.75,0,29.03,1.5619,2,.
16,1,.,307.94,0,3,.,.,1,10,1,1,1,0,27.74,1.5619,2,.
17,1,.,551.86,0,3,.,.,1,10,1,1,1,0,28,1.1481,2,.
18,1,.,6.69,0,3,.,.,1,10,1,1,1,0,29.03,1.4717,2,.
19,2,.,0.9,0,3,.,.,1,10,1,1,2,0,28.1,1.464,2,.
20,2,.,4.8,0,3,.,.,1,10,1,1,2,0,27.67,1.4273,2,.
21,2,.,3.6,0,3,.,.,1,10,1,1,2,0,26.52,1.2356,2,.
25,4,.,1.02,0,3,.,.,1,10,1,1,4,0,27.03,1.5917,2,.
