ID,TIME,AMT,DV,MDV,CMT,ADDL,II,SPECIES,DOSE,ROUTE,FORMULATION,TAD,BQL,WT,LVW,CMT2,RATE
1,0.033,.,7333.59,0,3,.,.,1,10,1,1,0.033,0,27.68,1.3003,2,.
2,0.033,.,4663.91,0,3,.,.,1,10,1,1,0.033,0,26.98,1.3003,2,.
3,0.033,.,3794.48,0,3,.,.,1,10,1,1,0.033,0,29.57,1.3003,2,.
4,0.083,.,1191.5,0,3,.,.,1,10,1,1,0.083,0,29.84,1.3003,2,.
5,0.083,.,1178.81,0,3,.,.,1,10,1,1,0.083,0,27.97,1.3003,2,.
6,0.083,.,1258.79,0,3,.,.,1,10,1,1,0.083,0,30.52,1.3003,2,.
7,0.25,.,879.32,0,3,.,.,1,10,1,1,0.25,0,28.2,1.3003,2,.
8,0.25,.,525.94,0,3,.,.,1,10,1,1,0.25,0,27.56,1.3003,2,.
9,0.25,.,546.45,0,3,.,.,1,10,1,1,0.25,0,28.24,1.3003,2,.
10,0.5,.,1256.22,0,3,.,.,1,10,1,1,0.5,0,28.36,1.3003,2,.
11,0.5,.,356.47,0,3,.,.,1,10,1,1,0.5,0,30.38,1.6399,2,.
12,0.5,.,49.88,0,3,.,.,1,10,1,1,0.5,0,27.61,1.3386,2,.
13,0.75,.,231.89,0,3,.,.,1,10,1,1,0.75,0,28.89,1.5619,2,.
14,0.75,.,21.36,0,3,.,.,1,10,1,1,0.75,0,27.91,1.5619,2,.
15,0.75,.,16.51,0,3,.,.,1,10,1,1,0.75,0,29.03,1.5619,2,.
16,1,.,307.94,0,3,.,.,1,10,1,1,1,0,27.74,1.5619,2,.
17,1,.,551.86,0,3,.,.,1,10,1,1,1,0,28,1.1481,2,.
18,1,.,6.69,0,3,.,.,1,10,1,1,1,0,29.03,1.4717,2,.
19,2,.,0.9,0,3,.,.,1,10,1,1,2,0,28.1,1.464,2,.
20,2,.,4.8,0,3,.,.,1,10,1,1,2,0,27.67,1.4273,2,.
21,2,.,3.6,0,3,.,.,1,10,1,1,2,0,26.52,1.2356,2,.
25,4,.,1.02,0,3,.,.,1,10,1,1,4,0,27.03,1.5917,2,.
26,4,.,0.03,0,3,.,.,1,10,1,1,4,0,28.29,1.5331,2,.
27,4,.,1.2,0,3,.,.,1,10,1,1,4,0,27.84,1.5836,2,.
29,6,.,0.6,0,3,.,.,1,10,1,1,6,0,26.51,1.7962,2,.
30,6,.,3.05,0,3,.,.,1,10,1,1,6,0,28.94,1.7962,2,.
31,8,.,0.61,0,3,.,.,1,10,1,1,8,0,28.21,1.7962,2,.
32,8,.,0.85,0,3,.,.,1,10,1,1,8,0,27.2,1.6345,2,.
33,8,.,0.38,0,3,.,.,1,10,1,1,8,0,27.72,1.7872,2,.
67,0.017,.,7256,0,3,.,.,1,10,1,1,0.017,0,28,1.4,2,.
68,0.017,.,8399.9,0,3,.,.,1,10,1,1,0.017,0,28,1.4,2,.
69,0.017,.,10783.4,0,3,.,.,1,10,1,1,0.017,0,28,1.4,2,.
70,0.083,.,1942.4,0,3,.,.,1,10,1,1,0.083,0,28,1.4,2,.
71,0.083,.,1919.4,0,3,.,.,1,10,1,1,0.083,0,28,1.4,2,.
72,0.083,.,1731.5,0,3,.,.,1,10,1,1,0.083,0,28,1.4,2,.
73,0.25,.,211.7,0,3,.,.,1,10,1,1,0.25,0,28,1.4,2,.
74,0.25,.,308.5,0,3,.,.,1,10,1,1,0.25,0,28,1.4,2,.
75,0.25,.,304.6,0,3,.,.,1,10,1,1,0.25,0,28,1.4,2,.
76,0.5,.,71.7,0,3,.,.,1,10,1,1,0.5,0,28,1.4,2,.
77,0.5,.,169.5,0,3,.,.,1,10,1,1,0.5,0,28,1.4,2,.
78,0.5,.,192.5,0,3,.,.,1,10,1,1,0.5,0,28,1.4,2,.
79,1,.,309.4,0,3,.,.,1,10,1,1,1,0,28,1.4,2,.
80,1,.,72.4,0,3,.,.,1,10,1,1,1,0,28,1.4,2,.
81,1,.,17.6,0,3,.,.,1,10,1,1,1,0,28,1.4,2,.
82,2,.,4.5,0,3,.,.,1,10,1,1,2,0,28,1.4,2,.
83,2,.,4.5,0,3,.,.,1,10,1,1,2,0,28,1.4,2,.
84,2,.,9.8,0,3,.,.,1,10,1,1,2,0,28,1.4,2,.
85,4,.,5.4,0,3,.,.,1,10,1,1,4,0,28,1.4,2,.
86,4,.,0.2,0,3,.,.,1,10,1,1,4,0,28,1.4,2,.
87,4,.,13.6,0,3,.,.,1,10,1,1,4,0,28,1.4,2,.
88,6,.,16.1,0,3,.,.,1,10,1,1,6,0,28,1.4,2,.
89,6,.,0.4,0,3,.,.,1,10,1,1,6,0,28,1.4,2,.
90,6,.,0.6,0,3,.,.,1,10,1,1,6,0,28,1.4,2,.
91,8,.,0.5,0,3,.,.,1,10,1,1,8,0,28,1.4,2,.
92,8,.,0.6,0,3,.,.,1,10,1,1,8,0,28,1.4,2,.
93,8,.,3.5,0,3,.,.,1,10,1,1,8,0,28,1.4,2,.
94,12,.,0.4,0,3,.,.,1,10,1,1,12,0,28,1.4,2,.
95,12,.,0.6,0,3,.,.,1,10,1,1,12,0,28,1.4,2,.
96,12,.,6.8,0,3,.,.,1,10,1,1,12,0,28,1.4,2,.
97,24,.,0.4,0,3,.,.,1,10,1,1,24,0,28,1.4,2,.
98,24,.,2.2,0,3,.,.,1,10,1,1,24,0,28,1.4,2,.
99,24,.,0.9,0,3,.,.,1,10,1,1,24,0,28,1.4,2,.
