TABLE NO.  1
 ID          TIME        AMT         DV          MDV         IPRED       CWRES       IWRES       BQL         DV          PRED        RES         WRES
  1.0000E+00  0.0000E+00  1.0000E+04  0.0000E+00  1.0000E+00  3.5144E+04  0.0000E+00 -1.7982E+00  0.0000E+00  0.0000E+00  3.5144E+04  0.0000E+00  0.0000E+00
  1.0000E+00  2.5000E-01  0.0000E+00  5.9483E+03  0.0000E+00  6.7164E+03 -2.0565E-01 -2.0565E-01  0.0000E+00  5.9483E+03  6.7164E+03 -7.6811E+02 -2.0565E-01
  1.0000E+00  5.0000E-01  0.0000E+00  1.6680E+03  0.0000E+00  1.3133E+03  4.8554E-01  4.8554E-01  0.0000E+00  1.6680E+03  1.3133E+03  3.5462E+02  4.8554E-01
  1.0000E+00  7.5000E-01  0.0000E+00  0.0000E+00  1.0000E+00  2.8220E+02  0.0000E+00 -1.7982E+00  1.0000E+00  0.0000E+00  2.8220E+02  0.0000E+00  0.0000E+00
  1.0000E+00  1.0000E+00  0.0000E+00  1.5447E+02  0.0000E+00  8.1811E+01  1.5971E+00  1.5971E+00  0.0000E+00  1.5447E+02  8.1811E+01  7.2661E+01  1.5971E+00
  1.0000E+00  2.0000E+00  0.0000E+00  3.8797E+01  0.0000E+00  1.9790E+01  1.7271E+00  1.7271E+00  0.0000E+00  3.8797E+01  1.9790E+01  1.9008E+01  1.7271E+00
  1.0000E+00  4.0000E+00  0.0000E+00  6.1040E+00  0.0000E+00  5.8457E+00  7.9441E-02  7.9441E-02  0.0000E+00  6.1040E+00  5.8457E+00  2.5825E-01  7.9441E-02
  1.0000E+00  8.0000E+00  0.0000E+00  7.6630E-01  0.0000E+00  5.1315E-01  8.8710E-01  8.8710E-01  0.0000E+00  7.6630E-01  5.1315E-01  2.5315E-01  8.8710E-01
  2.0000E+00  0.0000E+00  1.0000E+04  0.0000E+00  1.0000E+00  3.5144E+04  0.0000E+00 -1.7982E+00  0.0000E+00  0.0000E+00  3.5144E+04  0.0000E+00  0.0000E+00
  2.0000E+00  2.5000E-01  0.0000E+00  9.2556E+03  0.0000E+00  6.7164E+03  6.7983E-01  6.7983E-01  0.0000E+00  9.2556E+03  6.7164E+03  2.5392E+03  6.7983E-01
  2.0000E+00  5.0000E-01  0.0000E+00  1.5856E+03  0.0000E+00  1.3133E+03  3.7277E-01  3.7277E-01  0.0000E+00  1.5856E+03  1.3133E+03  2.7225E+02  3.7277E-01
  2.0000E+00  7.5000E-01  0.0000E+00  5.6478E+02  0.0000E+00  2.8220E+02  1.8006E+00  1.8006E+00  0.0000E+00  5.6478E+02  2.8220E+02  2.8258E+02  1.8006E+00
  2.0000E+00  1.0000E+00  0.0000E+00  5.4729E+01  0.0000E+00  8.1811E+01 -5.9526E-01 -5.9526E-01  0.0000E+00  5.4729E+01  8.1811E+01 -2.7082E+01 -5.9526E-01
  2.0000E+00  2.0000E+00  0.0000E+00  6.1446E+00  0.0000E+00  1.9790E+01 -1.2399E+00 -1.2399E+00  0.0000E+00  6.1446E+00  1.9790E+01 -1.3645E+01 -1.2399E+00
  2.0000E+00  4.0000E+00  0.0000E+00  2.4249E+00  0.0000E+00  5.8457E+00 -1.0523E+00 -1.0523E+00  0.0000E+00  2.4249E+00  5.8457E+00 -3.4208E+00 -1.0523E+00
  2.0000E+00  8.0000E+00  0.0000E+00  6.7820E-01  0.0000E+00  5.1315E-01  5.7838E-01  5.7838E-01  0.0000E+00  6.7820E-01  5.1315E-01  1.6505E-01  5.7838E-01
  3.0000E+00  0.0000E+00  1.0000E+04  0.0000E+00  1.0000E+00  3.5144E+04  0.0000E+00 -1.7982E+00  0.0000E+00  0.0000E+00  3.5144E+04  0.0000E+00  0.0000E+00
  3.0000E+00  2.5000E-01  0.0000E+00  3.1522E+03  0.0000E+00  6.7164E+03 -9.5427E-01 -9.5427E-01  0.0000E+00  3.1522E+03  6.7164E+03 -3.5642E+03 -9.5427E-01
  3.0000E+00  5.0000E-01  0.0000E+00  8.5389E+02  0.0000E+00  1.3133E+03 -6.2907E-01 -6.2907E-01  0.0000E+00  8.5389E+02  1.3133E+03 -4.5944E+02 -6.2907E-01
  3.0000E+00  7.5000E-01  0.0000E+00  1.6370E+02  0.0000E+00  2.8220E+02 -7.5511E-01 -7.5511E-01  0.0000E+00  1.6370E+02  2.8220E+02 -1.1850E+02 -7.5511E-01
  3.0000E+00  1.0000E+00  0.0000E+00  7.7905E+00  0.0000E+00  8.1811E+01 -1.6270E+00 -1.6270E+00  0.0000E+00  7.7905E+00  8.1811E+01 -7.4020E+01 -1.6270E+00
  3.0000E+00  2.0000E+00  0.0000E+00  6.0049E+00  0.0000E+00  1.9790E+01 -1.2526E+00 -1.2526E+00  0.0000E+00  6.0049E+00  1.9790E+01 -1.3785E+01 -1.2526E+00
  3.0000E+00  4.0000E+00  0.0000E+00  8.7410E-01  0.0000E+00  5.8457E+00 -1.5293E+00 -1.5293E+00  0.0000E+00  8.7410E-01  5.8457E+00 -4.9716E+00 -1.5293E+00
  3.0000E+00  8.0000E+00  0.0000E+00  6.0940E-01  0.0000E+00  5.1315E-01  3.3728E-01  3.3728E-01  0.0000E+00  6.0940E-01  5.1315E-01  9.6250E-02  3.3728E-01
  4.0000E+00  0.0000E+00  5.0000E+03  0.0000E+00  1.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  4.0000E+00  0.0000E+00  0.0000E+00  2.8350E-01  0.0000E+00  0.0000E+00  2.8350E+02  2.8350E+02  0.0000E+00  2.8350E-01  0.0000E+00  2.8350E-01  2.8350E+02
  4.0000E+00  2.5000E-01  0.0000E+00  2.5423E+00  0.0000E+00  0.0000E+00  2.5423E+03  2.5423E+03  0.0000E+00  2.5423E+00  0.0000E+00  2.5423E+00  2.5423E+03
  4.0000E+00  5.0000E-01  0.0000E+00  2.8427E+00  0.0000E+00  1.5922E+00  1.4123E+00  1.4123E+00  0.0000E+00  2.8427E+00  1.5922E+00  1.2505E+00  1.4123E+00
  4.0000E+00  7.5000E-01  0.0000E+00  2.2885E+00  0.0000E+00  1.8241E+00  4.5778E-01  4.5778E-01  0.0000E+00  2.2885E+00  1.8241E+00  4.6438E-01  4.5778E-01
