Iteration,Obj,KA,Q,V2,V3,CL,FP,Tlag1,error_ADD1,error_PROP1
1,2096628464092.64,-1.209503833762,-3.99270344503101,4.3759912716572,-1.95713721674736,1.57451187021104,-0.519833279498767,1.93071105482993,-4.81653394284151,-0.61007926636651
2,1076444946144.3,-1.59482177305486,-3.99210924772033,4.95772057150049,-1.95678619851393,1.64101464662637,-1.08180752956675,1.92529971723518,-4.48320060951774,-0.324172707664556
3,552665263180.062,-0.1291659118338,-3.98155895882644,6.1003360920229,-1.95005508033079,2.20156665863495,-1.31885454252354,1.8690466151487,-4.14986727618923,-0.0763004077757991
4,283747814804.367,3.30357215069786,-3.97015211275629,7.88179517537048,-1.94245274588725,2.6402850768043,-2.13890084332378,1.83745263017842,-3.81653394286509,-0.332163928387137
5,145682178906.042,4.04535046469938,-3.96191758097936,2.5417326323112,-1.93721197856876,4.73387097970151,-1.96443190491673,1.85188243069663,-3.48320060954066,-5.846559106311
6,74796502178.207,4.44618860956251,-3.96037651838489,3.89155147827176,-1.93777290159786,6.5281265066169,-4.12181400152139,-6.99465665172366,-3.14986668296227,-2.41562635774406
7,38387962240.1041,4.47418357877274,-3.33445035755893,4.95767288105045,-1.96837719416136,4.41624064237928,-4.26553434149178,-6.91535596593947,-2.81653347819684,-12.1043705586654
8,19966455282.4076,4.4740104925138,-3.32877779144195,10.9530423655856,-1.96936722431314,-3.50453995463598,-4.23963110847777,-5.81574286890336,-2.48953752923059,-12.1043701653824
9,14566693581.1953,4.47400904945831,-3.32878291596623,0.958593043356586,-1.96937646218446,-3.50456971370599,-4.23750539861811,-5.81573328269543,-2.15640359193879,-12.1043638636543
10,13924419642.2803,4.47431026822346,-4.81242842192568,0.819571735283212,1.43160550431916,5.01528853438632,-5.24768902852569,-5.39346407745016,-2.30930286072442,-8.58262485295647
11,6681541867.83119,4.4740510768911,-3.66860007177949,1.35100831989417,-1.28228073485183,-1.17456296115212,-4.41152422085715,-5.75926154769948,-2.09748138478346,-11.8980652687
12,3048020437.06967,4.47542357631802,-1.20758492618549,0.106708832258804,-1.60349614138036,-0.406640085966822,-5.74907668463336,-5.75618746468494,-1.83829546886859,-8.04501412789628
13,60612886477.0496,4.49584337728694,1.46963750245273,-3.70145627494435,-6.52836050855201,-3.29703440215095,-8.27619047832249,-0.32436699501915,-1.62638039675401,-11.1731745358185
14,1712109376.57638,4.4787041713029,-0.700407468120114,-0.442172552193498,-2.49593830211831,-1.41470800639753,-6.16417452526089,-4.64042973484914,-1.84304575164093,-9.61396009665879
15,2877536687.46473,4.4794885058536,-0.635328011675029,-3.85070942711509,-3.05605183463793,-1.941674719387,-6.33365404242868,-3.10931443830171,-3.66168430145078,-6.94830149086569
16,959335071.445458,4.47878702672011,-0.68597641643836,-1.23629020087622,-2.62526572478181,-1.50318622661674,-6.18206848764839,-4.30245853054331,-1.99172901361778,-8.73619960597521
17,246023970.525499,4.48820710109867,-0.566125898516407,-2.42201226727428,-3.11698692712098,-1.77060761278055,-7.26901556980079,-2.55124668437925,-2.1574135877195,-8.24563045640638
18,242892558754.041,4.51238996328577,-0.382978271982905,-3.83289292286438,-4.13186722097455,-1.13677807753787,-8.8674920564543,1.41167199526014,-3.73878278679053,-7.36076553023661
19,64255294.7922711,4.49246846653044,-0.513524817298497,-2.8298956701631,-3.41314777271382,-1.64946249775956,-7.55072889791201,-1.54791836830965,-2.24906739797438,-7.80231546532741
20,62063702832.558,4.50716341076461,-0.443103483179275,-3.46113186222625,-3.89271913147745,-0.929181036457287,-8.18219699708303,0.355762133854488,-3.08030277623689,-7.18274462689472
21,24701481.263848,4.49505298786451,-0.495022535465849,-2.98445470083642,-3.53315523883502,-1.49854635564536,-7.661906323228,-1.11514580442978,-2.22075210177862,-7.44348995058157
