"ID","TIME","AMT","DV","MDV","CMT","ADDL","II","SPECIES","SEX","MULTIPLE","DOSE","ROUTE","FORMULATION","TAD","BLQ","LIV","CMT2"
1,0,10000,.,1,3,0,.,2,1,1,10,2,1,0,0,0,3
1,0,.,0.3417,0,3,.,.,2,1,1,10,2,1,0,0,0,3
1,0.25,.,5948.31,0,3,.,.,2,1,1,10,2,1,0.25,0,0,3
1,0.5,.,1667.954,0,3,.,.,2,1,1,10,2,1,0.5,0,0,3
1,0.75,.,.,1,3,.,.,2,1,1,10,2,1,0.75,1,0,3
1,1,.,154.4714,0,3,.,.,2,1,1,10,2,1,1,0,0,3
1,2,.,38.7972,0,3,.,.,2,1,1,10,2,1,2,0,0,3
1,4,.,6.104,0,3,.,.,2,1,1,10,2,1,4,0,0,3
1,8,.,0.7663,0,3,.,.,2,1,1,10,2,1,8,0,0,3
2,0,10000,.,1,3,0,.,2,1,1,10,2,1,0,0,0,3
2,0,.,0.3756,0,3,.,.,2,1,1,10,2,1,0,0,0,3
2,0.25,.,9255.616,0,3,.,.,2,1,1,10,2,1,0.25,0,0,3
2,0.5,.,1585.592,0,3,.,.,2,1,1,10,2,1,0.5,0,0,3
2,0.75,.,564.7792,0,3,.,.,2,1,1,10,2,1,0.75,0,0,3
2,1,.,54.7291,0,3,.,.,2,1,1,10,2,1,1,0,0,3
2,2,.,6.1446,0,3,.,.,2,1,1,10,2,1,2,0,0,3
2,4,.,2.4249,0,3,.,.,2,1,1,10,2,1,4,0,0,3
2,8,.,0.6782,0,3,.,.,2,1,1,10,2,1,8,0,0,3
3,0,10000,.,1,3,0,.,2,1,1,10,2,1,0,0,0,3
3,0,.,0.402,0,3,.,.,2,1,1,10,2,1,0,0,0,3
3,0.25,.,3152.184,0,3,.,.,2,1,1,10,2,1,0.25,0,0,3
3,0.5,.,853.8938,0,3,.,.,2,1,1,10,2,1,0.5,0,0,3
3,0.75,.,163.6987,0,3,.,.,2,1,1,10,2,1,0.75,0,0,3
3,1,.,7.7905,0,3,.,.,2,1,1,10,2,1,1,0,0,3
3,2,.,6.0049,0,3,.,.,2,1,1,10,2,1,2,0,0,3
3,4,.,0.8741,0,3,.,.,2,1,1,10,2,1,4,0,0,3
3,8,.,0.6094,0,3,.,.,2,1,1,10,2,1,8,0,0,3
4,0,5000,.,1,1,0,.,2,1,1,5,1,1,0,0,0,1
4,0,.,0.2835,0,3,.,.,2,1,1,5,1,1,0,0,0,3
4,0.25,.,2.5423,0,3,.,.,2,1,1,5,1,1,0.25,0,0,3
4,0.5,.,2.8427,0,3,.,.,2,1,1,5,1,1,0.5,0,0,3
4,0.75,.,2.2885,0,3,.,.,2,1,1,5,1,1,0.75,0,0,3
4,1,.,1.5817,0,3,.,.,2,1,1,5,1,1,1,0,0,3
4,2,.,0.9038,0,3,.,.,2,1,1,5,1,1,2,0,0,3
4,4,.,0.7348,0,3,.,.,2,1,1,5,1,1,4,0,0,3
4,8,.,0.6029,0,3,.,.,2,1,1,5,1,1,8,0,0,3
5,0,5000,.,1,1,0,.,2,1,1,5,1,1,0,0,0,1
5,0,.,0.3146,0,3,.,.,2,1,1,5,1,1,0,0,0,3
5,0.25,.,5.4614,0,3,.,.,2,1,1,5,1,1,0.25,0,0,3
5,0.5,.,4.1521,0,3,.,.,2,1,1,5,1,1,0.5,0,0,3
5,0.75,.,3.3413,0,3,.,.,2,1,1,5,1,1,0.75,0,0,3
5,1,.,2.2491,0,3,.,.,2,1,1,5,1,1,1,0,0,3
5,2,.,0.9655,0,3,.,.,2,1,1,5,1,1,2,0,0,3
5,4,.,1.0409,0,3,.,.,2,1,1,5,1,1,4,0,0,3
5,8,.,1.2393,0,3,.,.,2,1,1,5,1,1,8,0,0,3
6,0,5000,.,1,1,0,.,2,1,1,5,1,1,0,0,0,1
6,0,.,0.2725,0,3,.,.,2,1,1,5,1,1,0,0,0,3
6,0.25,.,2.4061,0,3,.,.,2,1,1,5,1,1,0.25,0,0,3
6,0.5,.,3.0076,0,3,.,.,2,1,1,5,1,1,0.5,0,0,3
6,0.75,.,1.9909,0,3,.,.,2,1,1,5,1,1,0.75,0,0,3
6,1,.,1.9189,0,3,.,.,2,1,1,5,1,1,1,0,0,3
